File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
coffeemachine_9_200,6919,9,200,6 states,8 symbols,1919,9,0,827,82.3827,7,6,6384,104843,SAT,2.1012,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,100.0,0.0,,7,6,6384,104843,SAT,2.0471,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
coffeemachine_3_200,1671,3,200,6 states,8 symbols,1960,10,0,641,200.7111,7,6,5082,82621,SAT,0.8055,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,7,6,5082,82621,SAT,1.6199,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,0.9583333333333334
coffeemachine_7_200,6434,7,200,6 states,8 symbols,1954,9,0,909,74.616,7,6,6958,114683,SAT,1.5824,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,100.0,0.0,,7,6,6958,114683,SAT,2.4115,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
coffeemachine_5_200,2212,5,200,6 states,8 symbols,1912,9,0,913,183.9521,7,6,6986,115163,SAT,2.167,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,100.0,0.0,,7,6,6986,115163,SAT,2.1482,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
coffeemachine_8_200,1306,8,200,6 states,8 symbols,1981,8,1,793,77.3959,7,6,6146,100763,SAT,1.7372,800,800,759,800,0,41,1.0,0.95,1.0,1.0,1.0,1.0,0.9583333333333334,88.89,0.0,,7,6,6146,100763,SAT,2.0236,800,800,764,800,0,36,1.00,0.95,1.00,1.00,1.00,1.00,0.9166666666666666
coffeemachine_2_200,9825,2,200,6 states,8 symbols,1871,9,0,840,162.5524,7,6,6475,106403,SAT,1.8547,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,7,6,6475,106403,SAT,2.2207,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,0.9583333333333334
coffeemachine_6_200,6913,6,200,6 states,8 symbols,1936,9,0,960,84.1249,7,6,7315,120803,SAT,1.7198,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,7,6,7315,120803,SAT,2.2968,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,0.9583333333333334
coffeemachine_1_200,8822,1,200,6 states,8 symbols,1957,11,0,389,204.438,7,6,3318,52479,SAT,0.7024,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,100.0,0.0,,7,6,3318,52479,SAT,1.1174,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
coffeemachine_4_200,4047,4,200,6 states,8 symbols,1861,10,0,621,183.3332,7,6,4942,80221,SAT,1.851,800,800,800,792,8,0,0.99,1.0,0.99,1.0,1.0,1.0,0.9583333333333334,100.0,0.0,,7,6,4942,80221,SAT,1.6845,800,800,800,787,13,0,0.98,1.00,0.98,1.00,1.00,1.00,0.9583333333333334
coffeemachine_0_200,1185,0,200,6 states,8 symbols,1920,7,0,906,90.1982,7,6,6937,114127,SAT,1.6216,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,100.0,0.0,,7,6,6937,114127,SAT,1.1089,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
