File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
coffeemachine_0_1,3681,0,1,6 states,8 symbols,58,3,3,26,0.011,5,4,435,3717,SAT,0.0993,44,44,37,38,6,7,0.86,0.84,0.86,0.9,0.9,0.9,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1071,44,44,42,38,6,2,0.88,0.95,0.86,0.90,0.90,0.90,0.41666666666666663
coffeemachine_8_1,5553,8,1,6 states,8 symbols,58,3,3,26,0.0111,5,4,435,3717,SAT,0.0933,44,44,32,39,5,12,0.86,0.73,0.89,0.8,0.8,0.8,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1132,44,44,37,34,10,7,0.79,0.84,0.77,0.80,0.80,0.80,0.41666666666666663
coffeemachine_8_12,5553,8,12,6 states,8 symbols,70,4,2,34,0.014,5,4,475,4205,SAT,0.0841,48,48,34,43,5,14,0.87,0.71,0.9,0.8,0.8,0.8,0.4166666666666666,66.67,0.0,,5,4,475,4205,SAT,0.1363,48,48,41,37,11,7,0.79,0.85,0.77,0.80,0.80,0.80,0.41666666666666663
coffeemachine_8_6,5553,8,6,6 states,8 symbols,58,3,3,26,0.0117,5,4,435,3717,SAT,0.076,44,44,32,39,5,12,0.86,0.73,0.89,0.8,0.8,0.8,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1068,44,44,37,34,10,7,0.79,0.84,0.77,0.80,0.80,0.80,0.41666666666666663
coffeemachine_3_100,1671,3,100,6 states,8 symbols,983,6,2,427,53.7162,7,6,3584,56745,SAT,0.6083,400,400,348,400,0,52,1.0,0.87,1.0,0.9,0.9,0.9,0.875,75.0,0.0,,7,6,3584,56745,SAT,1.2344,400,400,371,400,0,29,1.00,0.93,1.00,1.00,1.00,1.00,0.875
coffeemachine_2_400,9825,2,400,6 states,8 symbols,3693,9,0,1585,471.9101,7,6,11690,195803,SAT,2.4188,1600,1600,1600,1600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,100.0,0.0,,7,6,11690,195803,SAT,3.7952,1600,1600,1600,1600,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
coffeemachine_7_25,8829,7,25,6 states,8 symbols,212,5,3,83,0.1439,6,5,936,10930,SAT,0.192,100,100,24,98,2,76,0.92,0.24,0.98,0.4,0.6,0.6,0.5657894736842105,62.5,0.0,,6,5,936,10930,SAT,0.3443,100,100,59,96,4,41,0.94,0.59,0.96,0.70,0.80,0.80,0.5657894736842105
coffeemachine_7_0,8829,7,0,6 states,8 symbols,58,3,3,26,0.0111,5,4,435,3717,SAT,0.076,44,44,36,39,5,8,0.88,0.82,0.89,0.8,0.9,0.9,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.0826,44,44,43,38,6,1,0.88,0.98,0.86,0.90,0.90,0.90,0.41666666666666663
coffeemachine_9_12,2925,9,12,6 states,8 symbols,73,5,3,35,0.0223,7,6,840,9705,SAT,0.2349,48,48,20,42,6,28,0.77,0.42,0.88,0.5,0.6,0.6,0.4682971014492754,62.5,0.0,,7,6,840,9705,SAT,0.4508,48,48,38,39,9,10,0.81,0.79,0.81,0.80,0.80,0.80,0.5
coffeemachine_9_25,2925,9,25,6 states,8 symbols,219,6,2,97,0.1801,6,5,1020,12162,SAT,0.1709,100,100,58,97,3,42,0.95,0.58,0.97,0.7,0.8,0.8,0.6875,75.0,0.0,,6,5,1020,12162,SAT,0.3003,100,100,75,97,3,25,0.96,0.75,0.97,0.80,0.90,0.90,0.6875
