File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
Random5_2_18,8637,2,18,10 states,8 symbols,180,14,5,85,8,274,0,0,0.5937,12,11,2184,49335,SAT,54.5426,80,80,1,80,0,79,1.0,0.01,1.0,0.0,0.5,0.5,0.2863636363636364,73.68,1442.11,,12,11,2184,49335,SAT,54.6326,80,80,1,80,0,79,1.00,0.01,1.00,0.00,0.50,0.50,0.2863636363636364
Random5_9_18,2895,9,18,10 states,8 symbols,180,14,5,85,8,274,0,0,0.6199,12,11,2184,49335,SAT,54.7224,80,80,2,80,0,78,1.0,0.03,1.0,0.0,0.5,0.5,0.2863636363636364,73.68,1442.11,,12,11,2184,49335,SAT,54.8360,80,80,2,80,0,78,1.00,0.03,1.00,0.00,0.50,0.50,0.2863636363636364
Random5_7_18,5161,7,18,10 states,8 symbols,180,14,5,85,8,274,0,0,0.5902,12,11,2184,49335,SAT,27.9188,80,80,0,80,0,80,0.0,0.0,0.0,0.0,0.5,0.0,0.3579545454545454,73.68,1442.11,,12,11,2184,49335,SAT,54.5894,80,80,0,80,0,80,0.00,0.00,0.00,0.00,0.50,0.00,0.2863636363636364
Random5_4_18,1794,4,18,10 states,8 symbols,180,14,5,85,8,274,0,0,0.5806,12,11,2184,49335,SAT,54.1212,80,80,1,80,0,79,1.0,0.01,1.0,0.0,0.5,0.5,0.2863636363636364,73.68,1442.11,,12,11,2184,49335,SAT,55.0344,80,80,1,80,0,79,1.00,0.01,1.00,0.00,0.50,0.50,0.2863636363636364
Random5_1_18,8749,1,18,10 states,8 symbols,180,14,5,85,8,274,0,0,0.5848,12,11,2184,49335,SAT,54.5731,80,80,3,80,0,77,1.0,0.04,1.0,0.1,0.5,0.5,0.2863636363636364,73.68,1442.11,,12,11,2184,49335,SAT,54.5091,80,80,3,80,0,77,1.00,0.04,1.00,0.10,0.50,0.50,0.2863636363636364
Random5_8_18,6523,8,18,10 states,8 symbols,180,14,5,85,8,274,0,0,0.5747,12,11,2184,49335,SAT,28.1467,80,80,2,79,1,78,0.67,0.03,0.99,0.0,0.5,0.5,0.3579545454545454,73.68,1442.11,,12,11,2184,49335,SAT,54.6493,80,80,0,80,0,80,0.00,0.00,0.00,0.00,0.50,0.00,0.2863636363636364
Random5_5_18,4407,5,18,10 states,8 symbols,180,14,5,85,8,274,0,0,0.6039,12,11,2184,49335,SAT,27.9041,80,80,1,79,1,79,0.5,0.01,0.99,0.0,0.5,0.5,0.3579545454545454,73.68,1442.11,,12,11,2184,49335,SAT,54.7633,80,80,1,80,0,79,1.00,0.01,1.00,0.00,0.50,0.50,0.2863636363636364
Random5_3_18,9653,3,18,10 states,8 symbols,180,14,5,85,8,274,0,0,0.5903,12,11,2184,49335,SAT,27.9535,80,80,3,80,0,77,1.0,0.04,1.0,0.1,0.5,0.5,0.3579545454545454,73.68,1442.11,,12,11,2184,49335,SAT,54.8964,80,80,0,80,0,80,0.00,0.00,0.00,0.00,0.50,0.00,0.2863636363636364
Random5_6_18,9955,6,18,10 states,8 symbols,180,14,5,85,8,274,0,0,0.5804,12,11,2184,49335,SAT,27.9191,80,80,2,79,1,78,0.67,0.03,0.99,0.0,0.5,0.5,0.3579545454545454,73.68,1442.11,,12,11,2184,49335,SAT,54.7398,80,80,3,80,0,77,1.00,0.04,1.00,0.10,0.50,0.50,0.2863636363636364
Random5_0_18,6481,0,18,10 states,8 symbols,180,14,5,85,8,274,0,0,0.6078,12,11,2184,49335,SAT,27.9992,80,80,2,80,0,78,1.0,0.03,1.0,0.0,0.5,0.5,0.3579545454545454,73.68,1442.11,,12,11,2184,49335,SAT,54.5571,80,80,2,80,0,78,1.00,0.03,1.00,0.00,0.50,0.50,0.2863636363636364
