File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
Random5_6_0,9955,6,0,10 states,8 symbols,180,14,5,85,8,274,0,0,0.8507,12,11,2184,49335,SAT,55.7408,80,80,3,80,0,77,1.0,0.04,1.0,0.1,0.5,0.5,0.2863636363636364,73.68,1442.11,,12,11,2184,49335,SAT,54.5162,80,80,3,80,0,77,1.00,0.04,1.00,0.10,0.50,0.50,0.2863636363636364
Random5_1_0,8749,1,0,10 states,8 symbols,180,14,5,85,8,274,0,0,0.5938,12,11,2184,49335,SAT,28.7202,80,80,3,80,0,77,1.0,0.04,1.0,0.1,0.5,0.5,0.3579545454545454,73.68,1442.11,,12,11,2184,49335,SAT,65.2600,80,80,3,80,0,77,1.00,0.04,1.00,0.10,0.50,0.50,0.2863636363636364
Random5_2_0,8637,2,0,10 states,8 symbols,180,14,5,85,8,274,0,0,0.6116,12,11,2184,49335,SAT,28.7,80,80,1,80,0,79,1.0,0.01,1.0,0.0,0.5,0.5,0.3579545454545454,73.68,1442.11,,12,11,2184,49335,SAT,54.6095,80,80,1,80,0,79,1.00,0.01,1.00,0.00,0.50,0.50,0.2863636363636364
Random5_0_0,6481,0,0,10 states,8 symbols,180,14,5,85,8,274,0,0,0.585,12,11,2184,49335,SAT,54.5599,80,80,2,80,0,78,1.0,0.03,1.0,0.0,0.5,0.5,0.2863636363636364,73.68,1442.11,,12,11,2184,49335,SAT,54.5519,80,80,2,80,0,78,1.00,0.03,1.00,0.00,0.50,0.50,0.2863636363636364
Random5_3_0,9653,3,0,10 states,8 symbols,180,14,5,85,8,274,0,0,0.5933,12,11,2184,49335,SAT,27.9202,80,80,3,80,0,77,1.0,0.04,1.0,0.1,0.5,0.5,0.3579545454545454,73.68,1442.11,,12,11,2184,49335,SAT,54.5005,80,80,0,80,0,80,0.00,0.00,0.00,0.00,0.50,0.00,0.2863636363636364
Random5_9_0,2895,9,0,10 states,8 symbols,180,14,5,85,8,274,0,0,0.5742,12,11,2184,49335,SAT,54.6394,80,80,2,80,0,78,1.0,0.03,1.0,0.0,0.5,0.5,0.2863636363636364,73.68,1442.11,,12,11,2184,49335,SAT,54.4273,80,80,2,80,0,78,1.00,0.03,1.00,0.00,0.50,0.50,0.2863636363636364
Random5_7_0,5161,7,0,10 states,8 symbols,180,14,5,85,8,274,0,0,0.5751,12,11,2184,49335,SAT,54.62,80,80,0,80,0,80,0.0,0.0,0.0,0.0,0.5,0.0,0.2863636363636364,73.68,1442.11,,12,11,2184,49335,SAT,54.5765,80,80,0,80,0,80,0.00,0.00,0.00,0.00,0.50,0.00,0.2863636363636364
Random5_8_0,6523,8,0,10 states,8 symbols,180,14,5,85,8,274,0,0,0.5821,12,11,2184,49335,SAT,27.9022,80,80,2,79,1,78,0.67,0.03,0.99,0.0,0.5,0.5,0.3579545454545454,73.68,1442.11,,12,11,2184,49335,SAT,54.6267,80,80,0,80,0,80,0.00,0.00,0.00,0.00,0.50,0.00,0.2863636363636364
Random5_5_0,4407,5,0,10 states,8 symbols,180,14,5,85,8,274,0,0,0.5863,12,11,2184,49335,SAT,54.5555,80,80,1,80,0,79,1.0,0.01,1.0,0.0,0.5,0.5,0.2863636363636364,73.68,1442.11,,12,11,2184,49335,SAT,54.7946,80,80,1,80,0,79,1.00,0.01,1.00,0.00,0.50,0.50,0.2863636363636364
Random5_4_0,1794,4,0,10 states,8 symbols,180,14,5,85,8,274,0,0,0.6313,12,11,2184,49335,SAT,27.949,80,80,2,80,0,78,1.0,0.03,1.0,0.0,0.5,0.5,0.3579545454545454,73.68,1442.11,,12,11,2184,49335,SAT,54.7454,80,80,1,80,0,79,1.00,0.01,1.00,0.00,0.50,0.50,0.2863636363636364
