File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
coffeemachine_7_0,8829,7,0,6 states,8 symbols,58,4,2,28,8,26,3,0,0.1054,5,4,445,3839,SAT,0.0931,44,44,36,39,5,8,0.88,0.82,0.89,0.8,0.9,0.9,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.1691,44,44,43,38,6,1,0.88,0.98,0.86,0.90,0.90,0.90,0.46875
coffeemachine_6_0,9998,6,0,6 states,8 symbols,58,4,2,28,8,26,3,0,0.1113,5,4,445,3839,SAT,0.0803,44,44,39,35,9,5,0.81,0.89,0.8,0.8,0.8,0.8,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.2532,44,44,39,38,6,5,0.87,0.89,0.86,0.90,0.90,0.90,0.46875
coffeemachine_4_0,8307,4,0,6 states,8 symbols,58,4,2,28,8,26,3,0,0.1006,5,4,445,3839,SAT,0.077,44,44,31,38,6,13,0.84,0.7,0.86,0.8,0.8,0.8,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.0863,44,44,38,32,12,6,0.76,0.86,0.73,0.80,0.80,0.80,0.46875
coffeemachine_1_0,8014,1,0,6 states,8 symbols,58,4,2,28,8,26,3,0,0.1168,5,4,445,3839,SAT,0.0841,44,44,34,34,10,10,0.77,0.77,0.77,0.8,0.8,0.8,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.0896,44,44,39,34,10,5,0.80,0.89,0.77,0.80,0.80,0.80,0.46875
coffeemachine_3_0,5795,3,0,6 states,8 symbols,58,4,2,28,8,26,3,0,0.1057,5,4,445,3839,SAT,0.0813,44,44,38,42,2,6,0.95,0.86,0.95,0.9,0.9,0.9,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.0892,44,44,41,36,8,3,0.84,0.93,0.82,0.90,0.90,0.90,0.46875
coffeemachine_0_0,3681,0,0,6 states,8 symbols,58,4,2,28,8,26,3,0,0.1269,5,4,445,3839,SAT,0.0846,44,44,37,38,6,7,0.86,0.84,0.86,0.9,0.9,0.9,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.0917,44,44,42,38,6,2,0.88,0.95,0.86,0.90,0.90,0.90,0.46875
coffeemachine_5_0,6578,5,0,6 states,8 symbols,58,4,2,28,8,26,3,0,0.1073,5,4,445,3839,SAT,0.0785,44,44,32,39,5,12,0.86,0.73,0.89,0.8,0.8,0.8,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.0932,44,44,36,40,4,8,0.90,0.82,0.91,0.90,0.90,0.90,0.46875
coffeemachine_2_0,5315,2,0,6 states,8 symbols,58,4,2,28,8,26,3,0,0.1137,5,4,445,3839,SAT,0.0949,44,44,40,34,10,4,0.8,0.91,0.77,0.9,0.8,0.8,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.1270,44,44,43,35,9,1,0.83,0.98,0.80,0.90,0.90,0.90,0.46875
coffeemachine_9_0,2925,9,0,6 states,8 symbols,58,4,2,28,8,26,3,0,0.1123,5,4,445,3839,SAT,0.0793,44,44,37,35,9,7,0.8,0.84,0.8,0.8,0.8,0.8,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.1288,44,44,39,37,7,5,0.85,0.89,0.84,0.90,0.90,0.90,0.46875
coffeemachine_8_0,5553,8,0,6 states,8 symbols,58,4,2,28,8,26,3,0,0.1042,5,4,445,3839,SAT,0.0792,44,44,32,39,5,12,0.86,0.73,0.89,0.8,0.8,0.8,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.1202,44,44,37,34,10,7,0.79,0.84,0.77,0.80,0.80,0.80,0.46875
