File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
Random4_9_1200,7153,9,1200,9 states,8 symbols,17494,5,0,8331,8,0,0,0,1035.9472,10,9,84120,2058352,SAT,31.9069,4800,4800,4456,4791,9,344,1.0,0.93,1.0,1.0,1.0,1.0,0.9444444444444444,100.0,0.0,,10,9,84120,2058352,SAT,28.9396,4800,4800,4456,4791,9,344,1.00,0.93,1.00,1.00,1.00,1.00,0.9444444444444444
Random4_3_1200,6744,3,1200,9 states,8 symbols,17510,6,0,7599,8,0,0,0,1111.8871,10,9,76800,1878480,SAT,29.5232,4800,4800,4800,4773,27,0,0.99,1.0,0.99,1.0,1.0,1.0,0.9722222222222222,100.0,0.0,,10,9,76800,1878480,SAT,26.4612,4800,4800,4800,4773,27,0,0.99,1.00,0.99,1.00,1.00,1.00,0.9722222222222222
Random4_2_1200,8584,2,1200,9 states,8 symbols,17451,6,0,7947,8,0,0,0,1031.2581,10,9,80280,1964088,SAT,40.3248,4800,4800,4486,4795,5,314,1.0,0.93,1.0,1.0,1.0,1.0,0.957936507936508,100.0,0.0,,10,9,80280,1964088,SAT,34.4629,4800,4800,4486,4783,17,314,1.00,0.93,1.00,1.00,1.00,1.00,0.8888888888888888
Random4_4_1200,9328,4,1200,9 states,8 symbols,17426,5,0,8668,8,0,0,0,985.5658,10,9,87490,2141254,SAT,32.2629,4800,4800,4654,4792,8,146,1.0,0.97,1.0,1.0,1.0,1.0,0.9444444444444444,100.0,0.0,,10,9,87490,2141254,SAT,28.1188,4800,4800,4654,4792,8,146,1.00,0.97,1.00,1.00,1.00,1.00,0.9444444444444444
Random4_8_1200,5435,8,1200,9 states,8 symbols,17461,5,0,8529,8,0,0,0,1045.2077,10,9,86100,2107060,SAT,33.2652,4800,4800,4800,4785,15,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,100.0,0.0,,10,9,86100,2107060,SAT,30.6168,4800,4800,4800,4785,15,0,1.00,1.00,1.00,1.00,1.00,1.00,0.9722222222222222
Random4_7_1200,4120,7,1200,9 states,8 symbols,17412,6,0,7842,8,0,0,0,1023.5173,10,9,79230,1938258,SAT,45.5685,4800,4800,4357,4772,28,443,0.99,0.91,0.99,0.9,1.0,1.0,0.8611111111111112,100.0,0.0,,10,9,79230,1938258,SAT,45.1807,4800,4800,4361,4797,3,439,1.00,0.91,1.00,1.00,1.00,1.00,0.9444444444444444
Random4_5_1200,2866,5,1200,9 states,8 symbols,17527,5,0,8432,8,0,0,0,980.7157,10,9,85130,2083198,SAT,49.1354,4800,4800,4466,4800,0,334,1.0,0.93,1.0,1.0,1.0,1.0,0.957936507936508,100.0,0.0,,10,9,85130,2083198,SAT,43.3298,4800,4800,4800,4751,49,0,0.99,1.00,0.99,1.00,1.00,1.00,0.9444444444444444
Random4_6_1200,6670,6,1200,9 states,8 symbols,17436,5,0,8609,8,0,0,0,1099.6528,10,9,86900,2126740,SAT,41.7471,4800,4800,4594,4782,18,206,1.0,0.96,1.0,1.0,1.0,1.0,0.9444444444444444,100.0,0.0,,10,9,86900,2126740,SAT,34.6606,4800,4800,4594,4782,18,206,1.00,0.96,1.00,1.00,1.00,1.00,0.9444444444444444
Random4_0_1200,3627,0,1200,9 states,8 symbols,17475,6,0,7681,8,0,0,0,1034.14,10,9,77620,1898652,SAT,30.611,4800,4800,4521,4790,10,279,1.0,0.94,1.0,1.0,1.0,1.0,0.9444444444444444,100.0,0.0,,10,9,77620,1898652,SAT,25.7824,4800,4800,4636,4792,8,164,1.00,0.97,1.00,1.00,1.00,1.00,0.9722222222222222
Random4_1_1200,7021,1,1200,9 states,8 symbols,17450,6,0,7702,8,0,0,0,1087.3253,9,8,69975,1539453,SAT,16.6088,4800,4800,4329,4788,12,471,1.0,0.9,1.0,0.9,0.9,0.9,0.8559027777777778,100.0,0.0,,9,8,69975,1539453,SAT,13.4244,4800,4800,4329,4788,12,471,1.00,0.90,1.00,0.90,0.90,0.90,0.8559027777777778
