File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges
Random2_7_18,216,7,18,12 states,12 symbols,274,29,11,22,12,1523,0,0,1.8649,96,96,0,96,0,96,0.0,0.0,0.0,0.0,0.5,0.0,0.2419740437158469,72.5,3807.5
Random2_8_150,7526,8,150,12 states,12 symbols,3020,36,3,13,12,130,0,0,52.5402,600,600,199,600,0,401,1.0,0.33,1.0,0.5,0.7,0.7,0.8897058823529411,92.31,333.33
Random2_5_75,8737,5,75,12 states,12 symbols,1405,33,4,17,12,320,0,0,11.6373,300,300,25,300,0,275,1.0,0.08,1.0,0.2,0.5,0.5,0.7543238993710691,89.19,864.86
Random2_4_600,247,4,600,12 states,12 symbols,12381,37,0,12,12,12,0,0,2657.1152,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,32.43
Random2_0_150,9327,0,150,12 states,12 symbols,3061,36,3,14,12,129,0,0,73.074,600,600,177,596,4,423,0.98,0.29,0.99,0.5,0.6,0.6,0.8413461538461539,92.31,330.77
Random2_0_9,9327,0,9,12 states,12 symbols,274,29,11,22,12,1523,0,0,1.8577,96,96,1,96,0,95,1.0,0.01,1.0,0.0,0.5,0.5,0.2419740437158469,72.5,3807.5
Random2_7_150,216,7,150,12 states,12 symbols,3022,37,3,14,12,88,0,0,65.7151,600,600,190,598,2,410,0.99,0.32,1.0,0.5,0.7,0.7,0.8535770440251573,92.5,220.0
Random2_7_600,3704,7,600,12 states,12 symbols,12439,37,0,12,12,28,0,0,2973.742,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,75.68
Random2_6_75,1871,6,75,12 states,12 symbols,1416,35,4,15,12,268,0,0,15.9176,300,300,38,299,1,262,0.97,0.13,1.0,0.2,0.6,0.6,0.7146226415094339,89.74,687.18
Random2_9_600,4434,9,600,12 states,12 symbols,12446,35,1,12,12,17,0,0,1783.2703,2400,2400,1813,2376,24,587,0.99,0.76,0.99,0.9,0.9,0.9,0.9685283687943262,97.22,47.22
Random2_3_150,9989,3,150,12 states,12 symbols,3010,43,4,19,12,236,0,0,76.4705,600,600,220,580,20,380,0.92,0.37,0.97,0.5,0.7,0.7,0.6519230769230769,91.49,502.13
Random2_3_0,9989,3,0,12 states,12 symbols,274,29,11,22,12,1523,0,0,1.8732,96,96,0,96,0,96,0.0,0.0,0.0,0.0,0.5,0.0,0.2419740437158469,72.5,3807.5
