File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,Structural Difference_2,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
Random1_0_6,8580,0,6,7 states,6 symbols,57,3,6,24,0.0222,7,6,469,5789,SAT,0.1981,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.2443,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_3_6,9917,3,6,7 states,6 symbols,57,3,6,24,0.0223,7,6,469,5789,SAT,0.203,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.2371,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_7_6,1335,7,6,7 states,6 symbols,57,3,6,24,0.0227,7,6,469,5789,SAT,0.2019,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3193277310924369,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.2365,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_6_6,4424,6,6,7 states,6 symbols,57,3,6,24,0.0236,7,6,469,5789,SAT,0.6389,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3193277310924369,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.2613,36,36,1,36,0,35,1.00,0.03,1.00,0.10,0.50,0.50
Random1_4_6,7794,4,6,7 states,6 symbols,57,3,6,24,0.0224,7,6,469,5789,SAT,0.2975,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3594,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_8_6,7796,8,6,7 states,6 symbols,57,3,6,24,0.0223,7,6,469,5789,SAT,0.2421,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3193277310924369,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3458,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_5_6,6644,5,6,7 states,6 symbols,57,3,6,24,0.0227,7,6,469,5789,SAT,0.1974,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3193277310924369,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3357,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_1_6,9563,1,6,7 states,6 symbols,57,3,6,24,0.0222,7,6,469,5789,SAT,0.2045,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.2888,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_2_6,1249,2,6,7 states,6 symbols,57,3,6,24,0.0223,7,6,469,5789,SAT,0.1968,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3458,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_9_6,509,9,6,7 states,6 symbols,57,3,6,24,0.0223,7,6,469,5789,SAT,0.204,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3193277310924369,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.2678,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
