File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,Structural Difference_2,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
Random1_2_1,1249,2,1,7 states,6 symbols,57,3,6,24,0.0224,7,6,469,5789,SAT,0.2033,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3183,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_5_1,6644,5,1,7 states,6 symbols,57,3,6,24,0.0231,7,6,469,5789,SAT,0.2041,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3193277310924369,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.2794,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_3_1,9917,3,1,7 states,6 symbols,57,3,6,24,0.0229,7,6,469,5789,SAT,0.1984,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.2649,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_4_1,7794,4,1,7 states,6 symbols,57,3,6,24,0.0225,7,6,469,5789,SAT,0.5024,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.2945,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_0_1,8580,0,1,7 states,6 symbols,57,3,6,24,0.0221,7,6,469,5789,SAT,0.195,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.2578,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_7_1,1335,7,1,7 states,6 symbols,57,3,6,24,0.0222,7,6,469,5789,SAT,0.2012,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3193277310924369,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.5165,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_6_1,4424,6,1,7 states,6 symbols,57,3,6,24,0.0226,7,6,469,5789,SAT,0.1943,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3193277310924369,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.4527,36,36,1,36,0,35,1.00,0.03,1.00,0.10,0.50,0.50
Random1_9_1,509,9,1,7 states,6 symbols,57,3,6,24,0.0224,7,6,469,5789,SAT,0.2001,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3744,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_1_1,9563,1,1,7 states,6 symbols,57,3,6,24,0.0231,7,6,469,5789,SAT,0.206,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3482,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_8_1,7796,8,1,7 states,6 symbols,57,3,6,24,0.0225,7,6,469,5789,SAT,0.2007,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3473,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
