File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,Structural Difference_2,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
Random1_3_50,9917,3,50,7 states,6 symbols,546,11,3,225,4.3382,12,11,3576,94104,SAT,23.1239,200,200,70,191,9,130,0.89,0.35,0.95,0.5,0.7,0.7,0.6233766233766234,78.57,0.0,0.6233766233766234,,12,11,3576,94104,SAT,44.3588,200,200,96,187,13,104,0.88,0.48,0.94,0.60,0.70,0.70
Random1_2_50,1249,2,50,7 states,6 symbols,554,10,0,277,1.7054,8,7,2608,47790,SAT,0.487,200,200,200,200,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,,8,7,2608,47790,SAT,1.2336,200,200,200,200,0,0,1.00,1.00,1.00,1.00,1.00,1.00
Random1_9_50,509,9,50,7 states,6 symbols,552,8,0,276,1.2186,8,7,2600,47377,SAT,0.5489,200,200,200,194,6,0,0.97,1.0,0.97,1.0,1.0,1.0,0.9523809523809524,100.0,0.0,1.0,,8,7,2600,47377,SAT,0.9418,200,200,200,200,0,0,1.00,1.00,1.00,1.00,1.00,1.00
Random1_1_50,9563,1,50,7 states,6 symbols,544,6,1,258,1.3353,9,8,2817,56775,SAT,1.0235,200,200,117,200,0,83,1.0,0.58,1.0,0.7,0.8,0.8,0.8482142857142857,85.71,0.0,0.8482142857142857,,9,8,2817,56775,SAT,2.2004,200,200,147,200,0,53,1.00,0.73,1.00,0.80,0.90,0.90
Random1_0_50,8580,0,50,7 states,6 symbols,560,8,0,225,1.4793,8,7,2192,39370,SAT,0.4946,200,200,200,200,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,,8,7,2192,39370,SAT,1.1022,200,200,200,200,0,0,1.00,1.00,1.00,1.00,1.00,1.00
Random1_8_50,7796,8,50,7 states,6 symbols,537,8,0,240,1.1483,8,7,2312,41725,SAT,0.4639,200,200,200,192,8,0,0.96,1.0,0.96,1.0,1.0,1.0,0.9047619047619048,100.0,0.0,0.9047619047619048,,8,7,2312,41725,SAT,1.0131,200,200,200,189,11,0,0.95,1.00,0.94,1.00,1.00,1.00
Random1_6_50,4424,6,50,7 states,6 symbols,534,6,1,245,1.17,8,7,2352,42382,SAT,0.7015,200,200,28,199,1,172,0.97,0.14,0.99,0.2,0.6,0.6,0.7142857142857143,85.71,0.0,0.7142857142857143,,8,7,2352,42382,SAT,1.1057,200,200,67,198,2,133,0.97,0.34,0.99,0.50,0.70,0.70
Random1_4_50,7794,4,50,7 states,6 symbols,551,7,0,258,1.3332,8,7,2456,44423,SAT,0.6975,200,200,200,200,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,,8,7,2456,44423,SAT,1.1918,200,200,200,200,0,0,1.00,1.00,1.00,1.00,1.00,1.00
Random1_5_50,6644,5,50,7 states,6 symbols,563,8,0,226,1.5821,8,7,2200,39527,SAT,0.5562,200,200,200,195,5,0,0.98,1.0,0.97,1.0,1.0,1.0,0.9523809523809524,100.0,0.0,0.9523809523809523,,8,7,2200,39527,SAT,1.7462,200,200,200,196,4,0,0.98,1.00,0.98,1.00,1.00,1.00
Random1_7_50,1335,7,50,7 states,6 symbols,552,8,1,255,1.6504,9,8,2790,56502,SAT,0.8825,200,200,200,178,22,0,0.9,1.0,0.89,0.9,0.9,0.9,0.8482142857142857,88.89,0.0,0.8482142857142857,,9,8,2790,56502,SAT,1.8400,200,200,200,174,26,0,0.88,1.00,0.87,0.90,0.90,0.90
