File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,Structural Difference_2,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
Random1_4_12,7794,4,12,7 states,6 symbols,93,5,3,35,0.0439,8,7,672,9540,SAT,0.2967,48,48,1,46,2,47,0.33,0.02,0.96,0.0,0.5,0.5,0.5714285714285714,62.5,0.0,0.5714285714285714,,8,7,672,9540,SAT,0.3871,48,48,3,46,2,45,0.60,0.06,0.96,0.10,0.50,0.50
Random1_0_12,8580,0,12,7 states,6 symbols,96,4,1,43,0.0321,7,6,602,7677,SAT,0.2312,48,48,0,48,0,48,0.0,0.0,0.0,0.0,0.5,0.0,0.4126984126984127,80.0,0.0,0.4126984126984127,,7,6,602,7677,SAT,0.2979,48,48,1,48,0,47,1.00,0.02,1.00,0.00,0.50,0.50
Random1_1_12,9563,1,12,7 states,6 symbols,90,4,7,40,0.0616,10,9,1010,17937,SAT,2.5304,48,48,0,47,1,48,0.0,0.0,0.98,0.0,0.5,0.5,0.2962962962962963,36.36,0.0,0.25396825396825395,,10,9,1010,17937,SAT,4.2902,48,48,1,47,1,47,0.50,0.02,0.98,0.00,0.50,0.50
Random1_2_12,1249,2,12,7 states,6 symbols,92,4,7,45,0.0513,10,9,1060,19167,SAT,2.4091,48,48,0,47,1,48,0.0,0.0,0.98,0.0,0.5,0.5,0.2116402116402116,36.36,0.0,0.21520146520146521,,10,9,1060,19167,SAT,7.3042,48,48,10,47,1,38,0.91,0.21,0.98,0.30,0.60,0.60
Random1_5_12,6644,5,12,7 states,6 symbols,98,4,5,45,0.0467,8,7,752,11238,SAT,0.3316,48,48,1,48,0,47,1.0,0.02,1.0,0.0,0.5,0.5,0.5714285714285714,44.44,0.0,0.5714285714285714,,8,7,752,11238,SAT,0.6994,48,48,8,48,0,40,1.00,0.17,1.00,0.30,0.60,0.60
Random1_9_12,509,9,12,7 states,6 symbols,101,5,6,46,0.0499,9,8,909,15235,SAT,0.5308,48,48,5,45,3,43,0.62,0.1,0.94,0.2,0.5,0.5,0.4464285714285714,45.45,0.0,0.4464285714285714,,9,8,909,15235,SAT,1.1098,48,48,13,40,8,35,0.62,0.27,0.83,0.40,0.60,0.60
Random1_8_12,7796,8,12,7 states,6 symbols,97,8,1,45,0.0589,8,7,752,11238,SAT,0.2991,48,48,1,48,0,47,1.0,0.02,1.0,0.0,0.5,0.5,0.5238095238095238,88.89,0.0,0.5238095238095238,,8,7,752,11238,SAT,0.6190,48,48,8,47,1,40,0.89,0.17,0.98,0.30,0.60,0.60
Random1_3_12,9917,3,12,7 states,6 symbols,98,3,5,47,0.0573,8,7,768,11424,SAT,0.2784,48,48,6,44,4,42,0.6,0.12,0.92,0.2,0.5,0.5,0.3333333333333333,37.5,0.0,0.3333333333333333,,8,7,768,11424,SAT,0.5274,48,48,23,42,6,25,0.79,0.48,0.88,0.60,0.70,0.70
Random1_7_12,1335,7,12,7 states,6 symbols,95,5,1,36,0.0363,7,6,553,6935,SAT,0.2175,48,48,7,47,1,41,0.88,0.15,0.98,0.3,0.6,0.6,0.7222222222222222,83.33,0.0,0.7222222222222222,,7,6,553,6935,SAT,0.3905,48,48,10,48,0,38,1.00,0.21,1.00,0.30,0.60,0.60
Random1_6_12,4424,6,12,7 states,6 symbols,96,5,4,36,0.0553,7,6,553,7229,SAT,0.6392,48,48,0,48,0,48,0.0,0.0,0.0,0.0,0.5,0.0,0.6190476190476191,55.56,0.0,0.6190476190476191,,7,6,553,7229,SAT,0.2538,48,48,8,48,0,40,1.00,0.17,1.00,0.30,0.60,0.60
