File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
TCP_9_300,8167,9,300,14 states,28 symbols,7544,98,61,35,28,9348,78,0,2214.5774,1200,1200,158,1197,3,1042,0.98,0.13,1.0,0.2,0.6,0.6,0.4005366395262768,61.64,1200,1200,520,1181,19,680,0.96,0.43,0.98,0.60,0.70,0.70
TCP_4_300,3493,4,300,14 states,28 symbols,7533,95,73,37,28,13886,76,0,2283.3716,1200,1200,146,1197,3,1054,0.98,0.12,1.0,0.2,0.6,0.6,0.3432773109243697,56.55,1200,1200,490,1186,14,710,0.97,0.41,0.99,0.60,0.70,0.70
TCP_0_300,9105,0,300,14 states,28 symbols,7585,95,68,34,28,7483,77,0,2383.8247,1200,1200,117,1197,3,1083,0.97,0.1,1.0,0.2,0.5,0.5,0.3979591836734694,58.28,1200,1200,495,1190,10,705,0.98,0.41,0.99,0.60,0.70,0.70
TCP_8_300,7775,8,300,14 states,28 symbols,7504,79,58,29,28,4856,80,0,2168.2133,1200,1200,213,1188,12,987,0.95,0.18,0.99,0.3,0.6,0.6,0.4159090909090909,57.66,1200,1200,605,1173,27,595,0.96,0.50,0.98,0.70,0.70,0.70
TCP_6_300,7689,6,300,14 states,28 symbols,7518,101,84,40,28,17777,80,0,2069.7629,1200,1200,97,1196,4,1103,0.96,0.08,1.0,0.1,0.5,0.5,0.325,54.59,1200,1200,367,1189,11,833,0.97,0.31,0.99,0.50,0.60,0.60
TCP_7_300,657,7,300,14 states,28 symbols,7521,89,67,35,28,12514,79,0,1172.3878,1200,1200,146,1188,12,1054,0.92,0.12,0.99,0.2,0.6,0.6,0.3783834586466165,57.05,1200,1200,500,1183,17,700,0.97,0.42,0.99,0.60,0.70,0.70
TCP_3_300,6549,3,300,14 states,28 symbols,7512,102,77,36,28,9296,77,0,2292.5558,1200,1200,139,1192,8,1061,0.95,0.12,0.99,0.2,0.6,0.6,0.3544726301735647,56.98,1200,1200,542,1187,13,658,0.98,0.45,0.99,0.60,0.70,0.70
TCP_5_300,2094,5,300,14 states,28 symbols,7515,104,75,34,28,10621,79,0,4328.5378,1200,1200,168,1192,8,1032,0.95,0.14,0.99,0.2,0.6,0.6,0.3617250673854447,58.1,1200,1200,578,1184,16,622,0.97,0.48,0.99,0.60,0.70,0.70
TCP_2_300,7072,2,300,14 states,28 symbols,7552,80,49,26,28,4335,81,0,2081.1705,1200,1200,209,1198,2,991,0.99,0.17,1.0,0.3,0.6,0.6,0.4499999999999999,62.02,1200,1200,602,1187,13,598,0.98,0.50,0.99,0.70,0.70,0.70
TCP_1_300,9057,1,300,14 states,28 symbols,7513,108,87,41,28,18196,78,0,4080.1558,1200,1200,133,1196,4,1067,0.97,0.11,1.0,0.2,0.6,0.6,0.3362462006079027,55.38,1200,1200,473,1179,21,727,0.96,0.39,0.98,0.60,0.70,0.70
