File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
TCP_6_150,3237,6,150,14 states,28 symbols,3476,171,81,46,28,23060,61,0,3413.8131,600,600,44,593,7,556,0.86,0.07,0.99,0.1,0.5,0.5,0.1891774891774891,67.86,600,600,197,578,22,403,0.90,0.33,0.96,0.50,0.60,0.60
TCP_5_150,1923,5,150,14 states,28 symbols,3513,85,78,34,28,11139,59,0,752.7804,600,600,41,600,0,559,1.0,0.07,1.0,0.1,0.5,0.5,0.3306122448979591,52.15,600,600,193,595,5,407,0.97,0.32,0.99,0.50,0.70,0.70
TCP_9_150,250,9,150,14 states,28 symbols,3491,153,97,48,28,24486,59,0,5069.1219,600,600,53,596,4,547,0.93,0.09,0.99,0.2,0.5,0.5,0.2522366522366522,61.2,600,600,202,575,25,398,0.89,0.34,0.96,0.50,0.60,0.60
TCP_0_150,9654,0,150,14 states,28 symbols,3506,132,109,46,28,29199,56,0,3524.018,600,600,48,594,6,552,0.89,0.08,0.99,0.1,0.5,0.5,0.2234265734265734,54.77,600,600,186,585,15,414,0.93,0.31,0.97,0.50,0.60,0.60
TCP_4_150,5450,4,150,14 states,28 symbols,3510,163,88,49,28,22566,58,0,3423.5338,600,600,48,592,8,552,0.86,0.08,0.99,0.1,0.5,0.5,0.2045031055900621,64.94,600,600,175,575,25,425,0.88,0.29,0.96,0.40,0.60,0.60
TCP_3_150,8776,3,150,14 states,28 symbols,3470,83,93,46,28,18295,65,0,1494.0449,600,600,26,599,1,574,0.96,0.04,1.0,0.1,0.5,0.5,0.2625242404654169,47.16,600,600,148,599,1,452,0.99,0.25,1.00,0.40,0.60,0.60
TCP_1_150,7193,1,150,14 states,28 symbols,3513,155,96,51,28,29927,58,0,2824.53,600,600,46,594,6,554,0.88,0.08,0.99,0.1,0.5,0.5,0.2040697674418604,61.75,600,600,175,576,24,425,0.88,0.29,0.96,0.40,0.60,0.60
TCP_8_150,6797,8,150,14 states,28 symbols,3496,106,118,48,28,25767,58,0,1974.9847,600,600,53,594,6,547,0.9,0.09,0.99,0.2,0.5,0.5,0.2437401159725883,47.32,600,600,204,586,14,396,0.94,0.34,0.98,0.50,0.70,0.70
TCP_2_150,6887,2,150,14 states,28 symbols,3491,83,65,32,28,6356,66,0,329.1536,600,600,57,596,4,543,0.93,0.1,0.99,0.2,0.5,0.5,0.3755187549880287,56.08,600,600,197,595,5,403,0.98,0.33,0.99,0.50,0.70,0.70
TCP_7_150,5209,7,150,14 states,28 symbols,3473,79,89,44,28,13501,61,0,481.7146,600,600,47,599,1,553,0.98,0.08,1.0,0.1,0.5,0.5,0.3089370345294516,47.02,600,600,162,594,6,438,0.96,0.27,0.99,0.40,0.60,0.60
