File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
TCP_0_1200,9105,0,1200,14 states,28 symbols,31391,124,48,28,28,5782,82,0,35131.4148,4800,4800,1655,4692,108,3145,0.94,0.34,0.98,0.5,0.7,0.7,0.5232232591529073,72.09,4800,4800,3287,4659,141,1513,0.96,0.68,0.97,0.80,0.80,0.80
TCP_3_1200,6549,3,1200,14 states,28 symbols,31295,131,83,36,28,10677,82,0,42858.042,4800,4800,1322,4735,65,3478,0.95,0.28,0.99,0.4,0.6,0.6,0.479833620195066,61.21,4800,4800,3148,4716,84,1652,0.97,0.66,0.98,0.80,0.80,0.80
TCP_8_1200,7775,8,1200,14 states,28 symbols,31222,124,91,33,28,10721,82,0,51234.258,4800,4800,1491,4713,87,3309,0.94,0.31,0.98,0.5,0.6,0.6,0.4308704453441295,57.67,4800,4800,3250,4683,117,1550,0.97,0.68,0.98,0.80,0.80,0.80
TCP_6_1200,7689,6,1200,14 states,28 symbols,31298,142,42,32,28,9911,82,0,31350.506,4800,4800,1907,4672,128,2893,0.94,0.4,0.97,0.6,0.7,0.7,0.4953488372093023,77.17,4800,4800,3545,4657,143,1255,0.96,0.74,0.97,0.80,0.90,0.90
TCP_9_1200,8167,9,1200,14 states,28 symbols,31357,121,88,39,28,14099,82,0,74506.1624,4800,4800,1538,4737,63,3262,0.96,0.32,0.99,0.5,0.7,0.7,0.4420618854829381,57.89,4800,4800,3211,4704,96,1589,0.97,0.67,0.98,0.80,0.80,0.80
TCP_1_1200,9057,1,1200,14 states,28 symbols,31165,138,98,44,28,19871,82,0,69733.7798,4800,4800,1046,4740,60,3754,0.95,0.22,0.99,0.4,0.6,0.6,0.445174091141833,58.47,4800,4800,2898,4686,114,1902,0.96,0.60,0.98,0.70,0.80,0.80
TCP_5_1200,2094,5,1200,14 states,28 symbols,31312,124,57,30,28,5921,82,0,40682.019,4800,4800,1738,4695,105,3062,0.94,0.36,0.98,0.5,0.7,0.7,0.4702380952380952,68.51,4800,4800,3361,4661,139,1439,0.96,0.70,0.97,0.80,0.80,0.80
TCP_4_1200,3493,4,1200,14 states,28 symbols,31339,138,55,35,28,10747,82,0,45583.855,4800,4800,1702,4713,87,3098,0.95,0.35,0.98,0.5,0.7,0.7,0.4561516677155444,71.5,4800,4800,3303,4673,127,1497,0.96,0.69,0.97,0.80,0.80,0.80
TCP_7_1200,657,7,1200,14 states,28 symbols,31295,131,67,33,28,9489,82,0,40541.9875,4800,4800,1492,4707,93,3308,0.94,0.31,0.98,0.5,0.6,0.6,0.511335403726708,66.16,4800,4800,3200,4688,112,1600,0.97,0.67,0.98,0.80,0.80,0.80
TCP_2_1200,7072,2,1200,14 states,28 symbols,31336,139,67,34,28,15643,82,0,33467.3213,4800,4800,1589,4697,103,3211,0.94,0.33,0.98,0.5,0.7,0.7,0.4417513448894202,67.48,4800,4800,3399,4650,150,1401,0.96,0.71,0.97,0.80,0.80,0.80
