File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
TCP_7_75,5209,7,75,14 states,28 symbols,1452,99,98,46,28,19044,38,0,243.4958,300,300,25,296,4,275,0.86,0.08,0.99,0.2,0.5,0.5,0.2085891381345926,50.25,300,300,98,290,10,202,0.91,0.33,0.97,0.50,0.60,0.60
TCP_2_75,6887,2,75,14 states,28 symbols,1446,107,89,48,28,24197,44,0,262.9902,300,300,19,299,1,281,0.95,0.06,1.0,0.1,0.5,0.5,0.1913874191651969,54.59,300,300,78,293,7,222,0.92,0.26,0.98,0.40,0.60,0.60
TCP_6_75,3237,6,75,14 states,28 symbols,1448,111,90,45,28,14764,42,0,222.7057,300,300,21,294,6,279,0.78,0.07,0.98,0.1,0.5,0.5,0.2132653061224489,55.22,300,300,82,292,8,218,0.91,0.27,0.97,0.40,0.60,0.60
TCP_8_75,6797,8,75,14 states,28 symbols,1457,100,93,43,28,15894,39,0,343.5028,300,300,23,298,2,277,0.92,0.08,0.99,0.1,0.5,0.5,0.2450607902735562,51.81,300,300,91,295,5,209,0.95,0.30,0.98,0.50,0.60,0.60
TCP_5_75,1923,5,75,14 states,28 symbols,1449,105,91,51,28,30119,42,0,275.6078,300,300,18,296,4,282,0.82,0.06,0.99,0.1,0.5,0.5,0.2129500580720092,53.57,300,300,62,294,6,238,0.91,0.21,0.98,0.30,0.60,0.60
TCP_9_75,250,9,75,14 states,28 symbols,1448,114,77,47,28,18215,37,0,256.6704,300,300,17,298,2,283,0.89,0.06,0.99,0.1,0.5,0.5,0.181796262808921,59.69,300,300,82,292,8,218,0.91,0.27,0.97,0.40,0.60,0.60
TCP_4_75,5450,4,75,14 states,28 symbols,1455,127,91,46,28,20311,40,0,321.6709,300,300,23,296,4,277,0.85,0.08,0.99,0.1,0.5,0.5,0.1751222161868549,58.26,300,300,84,292,8,216,0.91,0.28,0.97,0.40,0.60,0.60
TCP_1_75,7193,1,75,14 states,28 symbols,1450,104,85,45,28,26864,37,0,313.6303,300,300,18,299,1,282,0.95,0.06,1.0,0.1,0.5,0.5,0.2115419987737584,55.03,300,300,90,290,10,210,0.90,0.30,0.97,0.50,0.60,0.60
TCP_3_75,8776,3,75,14 states,28 symbols,1437,123,72,44,28,18841,39,0,255.1164,300,300,13,298,2,287,0.87,0.04,0.99,0.1,0.5,0.5,0.1871848739495798,63.08,300,300,57,293,7,243,0.89,0.19,0.98,0.30,0.60,0.60
TCP_0_75,9654,0,75,14 states,28 symbols,1449,132,78,44,28,30420,37,0,269.1395,300,300,14,298,2,286,0.88,0.05,0.99,0.1,0.5,0.5,0.1830745341614906,62.86,300,300,74,296,4,226,0.95,0.25,0.99,0.40,0.60,0.60
