File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
bluetooth_0_4,6773,0,4,15 states,15 symbols,223,17,55,29,15,3013,9,0,3.4117,56,56,0,56,0,56,0.0,0.0,0.0,0.0,0.5,0.0,0.1464285714285714,23.61,4184.72,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00
bluetooth_9_4,2581,9,4,15 states,15 symbols,223,17,55,29,15,3013,9,0,2.1532,56,56,0,56,0,56,0.0,0.0,0.0,0.0,0.5,0.0,0.1464285714285714,23.61,4184.72,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00
bluetooth_2_4,8134,2,4,15 states,15 symbols,223,17,55,29,15,3013,9,0,2.187,56,56,0,56,0,56,0.0,0.0,0.0,0.0,0.5,0.0,0.1464285714285714,23.61,4184.72,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00
bluetooth_3_4,7492,3,4,15 states,15 symbols,223,17,55,29,15,3013,9,0,2.3062,56,56,0,56,0,56,0.0,0.0,0.0,0.0,0.5,0.0,0.1464285714285714,23.61,4184.72,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00
bluetooth_1_4,4955,1,4,15 states,15 symbols,223,17,55,29,15,3013,9,0,2.3301,56,56,0,56,0,56,0.0,0.0,0.0,0.0,0.5,0.0,0.1464285714285714,23.61,4184.72,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00
bluetooth_4_4,8493,4,4,15 states,15 symbols,223,17,55,29,15,3013,9,0,2.1769,56,56,0,56,0,56,0.0,0.0,0.0,0.0,0.5,0.0,0.1464285714285714,23.61,4184.72,56,56,1,56,0,55,1.00,0.02,1.00,0.00,0.50,0.50
bluetooth_7_4,8095,7,4,15 states,15 symbols,223,17,55,29,15,3013,9,0,2.9348,56,56,0,56,0,56,0.0,0.0,0.0,0.0,0.5,0.0,0.1464285714285714,23.61,4184.72,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00
bluetooth_5_4,5571,5,4,15 states,15 symbols,223,17,55,29,15,3013,9,0,2.1678,56,56,0,56,0,56,0.0,0.0,0.0,0.0,0.5,0.0,0.1464285714285714,23.61,4184.72,56,56,1,56,0,55,1.00,0.02,1.00,0.00,0.50,0.50
bluetooth_6_4,5064,6,4,15 states,15 symbols,223,17,55,29,15,3013,9,0,2.497,56,56,0,56,0,56,0.0,0.0,0.0,0.0,0.5,0.0,0.1464285714285714,23.61,4184.72,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00
bluetooth_8_4,7258,8,4,15 states,15 symbols,223,17,55,29,15,3013,9,0,2.2276,56,56,0,56,0,56,0.0,0.0,0.0,0.0,0.5,0.0,0.1464285714285714,23.61,4184.72,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00
