File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
bluetooth_5_18,5571,5,18,15 states,15 symbols,341,16,83,32,15,5296,12,0,7.5201,72,72,0,72,0,72,0.0,0.0,0.0,0.0,0.5,0.0,0.0602564102564102,16.16,5349.49,72,72,0,72,0,72,0.00,0.00,0.00,0.00,0.50,0.00
bluetooth_3_18,7492,3,18,15 states,15 symbols,346,29,82,33,15,6755,12,0,9.7703,72,72,0,72,0,72,0.0,0.0,0.0,0.0,0.5,0.0,0.1403929403929404,26.13,6085.59,72,72,0,72,0,72,0.00,0.00,0.00,0.00,0.50,0.00
bluetooth_1_18,4955,1,18,15 states,15 symbols,340,18,73,30,15,4571,11,0,8.2232,72,72,0,72,0,72,0.0,0.0,0.0,0.0,0.5,0.0,0.1785714285714285,19.78,5023.08,72,72,1,72,0,71,1.00,0.01,1.00,0.00,0.50,0.50
bluetooth_0_18,6773,0,18,15 states,15 symbols,340,23,74,30,15,5182,12,0,8.3436,72,72,0,72,0,72,0.0,0.0,0.0,0.0,0.5,0.0,0.1222222222222222,23.71,5342.27,72,72,0,72,0,72,0.00,0.00,0.00,0.00,0.50,0.00
bluetooth_2_18,8134,2,18,15 states,15 symbols,341,17,80,30,15,5209,12,0,7.5095,72,72,0,72,0,72,0.0,0.0,0.0,0.0,0.5,0.0,0.1309523809523809,17.53,5370.1,72,72,1,71,1,71,0.50,0.01,0.99,0.00,0.50,0.50
bluetooth_9_18,2581,9,18,15 states,15 symbols,342,32,78,37,15,6304,12,0,8.5071,72,72,0,72,0,72,0.0,0.0,0.0,0.0,0.5,0.0,0.1064253098499673,29.09,5730.91,72,72,0,72,0,72,0.00,0.00,0.00,0.00,0.50,0.00
bluetooth_6_18,5064,6,18,15 states,15 symbols,345,34,72,32,15,6307,12,0,8.2695,72,72,0,72,0,72,0.0,0.0,0.0,0.0,0.5,0.0,0.1177615571776155,32.08,5950.0,72,72,0,72,0,72,0.00,0.00,0.00,0.00,0.50,0.00
bluetooth_4_18,8493,4,18,15 states,15 symbols,341,25,75,29,15,5066,13,0,7.5551,72,72,0,72,0,72,0.0,0.0,0.0,0.0,0.5,0.0,0.1300223214285714,25.0,5066.0,72,72,1,72,0,71,1.00,0.01,1.00,0.00,0.50,0.50
bluetooth_8_18,7258,8,18,15 states,15 symbols,339,26,75,29,15,4528,13,0,7.4031,72,72,0,72,0,72,0.0,0.0,0.0,0.0,0.5,0.0,0.1295681063122923,25.74,4483.17,72,72,1,72,0,71,1.00,0.01,1.00,0.00,0.50,0.50
bluetooth_7_18,8095,7,18,15 states,15 symbols,342,40,78,35,15,6932,12,0,10.4239,72,72,0,72,0,72,0.0,0.0,0.0,0.0,0.5,0.0,0.0966165413533834,33.9,5874.58,72,72,0,72,0,72,0.00,0.00,0.00,0.00,0.50,0.00
