File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
bluetooth_8_150,7258,8,150,15 states,15 symbols,4159,155,189,62,15,5703,53,0,9129.5571,600,600,54,593,7,546,0.89,0.09,0.99,0.2,0.5,0.5,0.3058201058201058,45.06,1657.85,600,600,169,589,11,431,0.94,0.28,0.98,0.40,0.60,0.60
bluetooth_4_150,8493,4,150,15 states,15 symbols,4165,222,222,80,15,20479,54,0,18153.9612,600,600,23,597,3,577,0.88,0.04,0.99,0.1,0.5,0.5,0.2515888190840389,50.0,4612.39,600,600,138,592,8,462,0.95,0.23,0.99,0.40,0.60,0.60
bluetooth_3_150,7492,3,150,15 states,15 symbols,4169,195,224,75,15,11980,54,0,14336.5951,600,600,34,600,0,566,1.0,0.06,1.0,0.1,0.5,0.5,0.3176856949676422,46.54,2859.19,600,600,122,590,10,478,0.92,0.20,0.98,0.30,0.60,0.60
bluetooth_9_150,2581,9,150,15 states,15 symbols,4151,144,80,40,15,2032,55,0,4546.7845,600,600,261,569,31,339,0.89,0.43,0.95,0.6,0.7,0.7,0.4797392721347094,64.29,907.14,600,600,310,568,32,290,0.91,0.52,0.95,0.70,0.70,0.70
bluetooth_7_150,8095,7,150,15 states,15 symbols,4158,191,232,76,15,15738,54,0,14510.1394,600,600,10,598,2,590,0.83,0.02,1.0,0.0,0.5,0.5,0.2998278829604131,45.15,3720.57,600,600,96,592,8,504,0.92,0.16,0.99,0.30,0.60,0.60
bluetooth_6_150,5064,6,150,15 states,15 symbols,4152,213,223,79,15,10632,57,0,16547.33,600,600,23,600,0,577,1.0,0.04,1.0,0.1,0.5,0.5,0.2752640355753196,48.85,2438.53,600,600,99,587,13,501,0.88,0.17,0.98,0.30,0.60,0.60
bluetooth_5_150,5571,5,150,15 states,15 symbols,4157,242,253,87,15,25881,56,0,16934.6723,600,600,8,599,1,592,0.89,0.01,1.0,0.0,0.5,0.5,0.253012048192771,48.89,5228.48,600,600,72,590,10,528,0.88,0.12,0.98,0.20,0.60,0.60
bluetooth_1_150,4955,1,150,15 states,15 symbols,4153,184,277,86,15,24405,55,0,15654.0872,600,600,12,600,0,588,1.0,0.02,1.0,0.0,0.5,0.5,0.2725274725274725,39.91,5293.93,600,600,84,594,6,516,0.93,0.14,0.99,0.20,0.60,0.60
bluetooth_0_150,6773,0,150,15 states,15 symbols,4186,153,124,50,15,5444,54,0,5732.5445,600,600,53,592,8,547,0.87,0.09,0.99,0.2,0.5,0.5,0.3777388255915863,55.23,1965.34,600,600,186,579,21,414,0.90,0.31,0.96,0.50,0.60,0.60
bluetooth_2_150,8134,2,150,15 states,15 symbols,4149,215,297,90,15,20191,55,0,18777.8946,600,600,13,600,0,587,1.0,0.02,1.0,0.0,0.5,0.5,0.2685048728309959,41.99,3943.55,600,600,101,593,7,499,0.94,0.17,0.99,0.30,0.60,0.60
