File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
bluetooth_5_37,5571,5,37,15 states,15 symbols,901,51,137,40,15,6977,23,0,120.1285,148,148,0,148,0,148,0.0,0.0,0.0,0.0,0.5,0.0,0.1532200545416404,27.13,3711.17,148,148,4,148,0,144,1.00,0.03,1.00,0.10,0.50,0.50
bluetooth_2_37,8134,2,37,15 states,15 symbols,891,33,142,38,15,9243,26,0,110.5247,148,148,1,148,0,147,1.0,0.01,1.0,0.0,0.5,0.5,0.1708894878706199,18.86,5281.71,148,148,3,147,1,145,0.75,0.02,0.99,0.00,0.50,0.50
bluetooth_4_37,8493,4,37,15 states,15 symbols,906,58,132,39,15,11139,26,0,101.8389,148,148,0,148,0,148,0.0,0.0,0.0,0.0,0.5,0.0,0.1599624060150375,30.53,5862.63,148,148,6,148,0,142,1.00,0.04,1.00,0.10,0.50,0.50
bluetooth_8_37,7258,8,37,15 states,15 symbols,893,57,134,40,15,8364,24,0,108.5747,148,148,0,148,0,148,0.0,0.0,0.0,0.0,0.5,0.0,0.1387163561076604,29.84,4379.06,148,148,4,148,0,144,1.00,0.03,1.00,0.10,0.50,0.50
bluetooth_7_37,8095,7,37,15 states,15 symbols,900,63,131,39,15,8181,20,0,131.6443,148,148,0,148,0,148,0.0,0.0,0.0,0.0,0.5,0.0,0.1314244663382594,32.47,4217.01,148,148,3,148,0,145,1.00,0.02,1.00,0.00,0.50,0.50
bluetooth_3_37,7492,3,37,15 states,15 symbols,905,53,145,43,15,11313,25,0,137.7515,148,148,0,148,0,148,0.0,0.0,0.0,0.0,0.5,0.0,0.1369047619047619,26.77,5713.64,148,148,1,148,0,147,1.00,0.01,1.00,0.00,0.50,0.50
bluetooth_0_37,6773,0,37,15 states,15 symbols,896,65,122,39,15,9200,26,0,115.558,148,148,0,148,0,148,0.0,0.0,0.0,0.0,0.5,0.0,0.1117460317460317,34.76,4919.79,148,148,4,148,0,144,1.00,0.03,1.00,0.10,0.50,0.50
bluetooth_1_37,4955,1,37,15 states,15 symbols,904,58,132,40,15,8108,23,0,124.6083,148,148,1,148,0,147,1.0,0.01,1.0,0.0,0.5,0.5,0.055562487003535,30.53,4267.37,148,148,5,148,0,143,1.00,0.03,1.00,0.10,0.50,0.50
bluetooth_6_37,5064,6,37,15 states,15 symbols,913,73,109,41,15,13919,26,0,103.1425,148,148,1,148,0,147,1.0,0.01,1.0,0.0,0.5,0.5,0.1262548262548262,40.11,7647.8,148,148,6,148,0,142,1.00,0.04,1.00,0.10,0.50,0.50
bluetooth_9_37,2581,9,37,15 states,15 symbols,894,75,139,45,15,10449,25,0,145.275,148,148,0,148,0,148,0.0,0.0,0.0,0.0,0.5,0.0,0.1406976744186046,35.05,4882.71,148,148,2,148,0,146,1.00,0.01,1.00,0.00,0.50,0.50
