File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
bluetooth_9_0,2581,9,0,15 states,15 symbols,223,17,55,29,15,3013,9,0,2.1702,56,56,0,56,0,56,0.0,0.0,0.0,0.0,0.5,0.0,0.1464285714285714,23.61,4184.72,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00
bluetooth_3_0,7492,3,0,15 states,15 symbols,223,17,55,29,15,3013,9,0,2.1884,56,56,0,56,0,56,0.0,0.0,0.0,0.0,0.5,0.0,0.1464285714285714,23.61,4184.72,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00
bluetooth_7_0,8095,7,0,15 states,15 symbols,223,17,55,29,15,3013,9,0,2.1506,56,56,0,56,0,56,0.0,0.0,0.0,0.0,0.5,0.0,0.1464285714285714,23.61,4184.72,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00
bluetooth_1_0,4955,1,0,15 states,15 symbols,223,17,55,29,15,3013,9,0,2.3314,56,56,0,56,0,56,0.0,0.0,0.0,0.0,0.5,0.0,0.1464285714285714,23.61,4184.72,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00
bluetooth_8_0,7258,8,0,15 states,15 symbols,223,17,55,29,15,3013,9,0,2.2242,56,56,0,56,0,56,0.0,0.0,0.0,0.0,0.5,0.0,0.1464285714285714,23.61,4184.72,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00
bluetooth_5_0,5571,5,0,15 states,15 symbols,223,17,55,29,15,3013,9,0,2.1656,56,56,0,56,0,56,0.0,0.0,0.0,0.0,0.5,0.0,0.1464285714285714,23.61,4184.72,56,56,1,56,0,55,1.00,0.02,1.00,0.00,0.50,0.50
bluetooth_4_0,8493,4,0,15 states,15 symbols,223,17,55,29,15,3013,9,0,2.1813,56,56,0,56,0,56,0.0,0.0,0.0,0.0,0.5,0.0,0.1464285714285714,23.61,4184.72,56,56,1,56,0,55,1.00,0.02,1.00,0.00,0.50,0.50
bluetooth_2_0,8134,2,0,15 states,15 symbols,223,17,55,29,15,3013,9,0,2.6078,56,56,0,56,0,56,0.0,0.0,0.0,0.0,0.5,0.0,0.1464285714285714,23.61,4184.72,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00
bluetooth_0_0,6773,0,0,15 states,15 symbols,223,17,55,29,15,3013,9,0,3.417,56,56,0,56,0,56,0.0,0.0,0.0,0.0,0.5,0.0,0.1464285714285714,23.61,4184.72,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00
bluetooth_6_0,5064,6,0,15 states,15 symbols,223,17,55,29,15,3013,9,0,2.2116,56,56,0,56,0,56,0.0,0.0,0.0,0.0,0.5,0.0,0.1464285714285714,23.61,4184.72,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00
