File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges
Random5_5_600,4407,5,600,10 states,8 symbols,10089,29,3,11,8,42,0,0,745.6648,2400,2400,1956,2382,18,444,0.99,0.81,0.99,0.90,0.90,0.90,0.9273809523809524,90.62,131.25
Random5_1_18,8749,1,18,10 states,8 symbols,180,18,18,14,8,476,0,0,0.7445,80,80,3,79,1,77,0.75,0.04,0.99,0.10,0.50,0.50,0.31785714285714284,50.00,1322.22
Random5_6_18,9955,6,18,10 states,8 symbols,180,18,18,14,8,476,0,0,1.0390,80,80,2,80,0,78,1.00,0.03,1.00,0.00,0.50,0.50,0.31785714285714284,50.00,1322.22
Random5_6_300,9955,6,300,10 states,8 symbols,5130,29,3,11,8,33,0,0,201.3109,1200,1200,790,1195,5,410,0.99,0.66,1.00,0.80,0.80,0.80,0.9029761904761905,90.62,103.12
Random5_1_600,8749,1,600,10 states,8 symbols,10065,31,0,10,8,7,0,0,764.1894,2400,2400,2400,2400,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0,100.00,22.58
Random5_2_300,8637,2,300,10 states,8 symbols,5095,31,4,12,8,65,0,0,194.8975,1200,1200,352,1179,21,848,0.94,0.29,0.98,0.40,0.60,0.60,0.8179347826086957,88.57,185.71
Random5_4_150,1794,4,150,10 states,8 symbols,2520,30,6,15,8,113,0,0,47.4191,600,600,345,582,18,255,0.95,0.57,0.97,0.70,0.80,0.80,0.7424999999999999,83.33,313.89
Random5_9_0,2895,9,0,10 states,8 symbols,180,18,18,14,8,476,0,0,0.7705,80,80,2,78,2,78,0.50,0.03,0.97,0.00,0.50,0.50,0.31785714285714284,50.00,1322.22
Random5_8_300,6523,8,300,10 states,8 symbols,5076,30,3,12,8,56,0,0,169.8332,1200,1200,742,1196,4,458,0.99,0.62,1.00,0.80,0.80,0.80,0.8352272727272727,90.91,169.70
Random5_9_150,2895,9,150,10 states,8 symbols,2528,26,7,12,8,126,0,0,43.1888,600,600,105,592,8,495,0.93,0.17,0.99,0.30,0.60,0.60,0.8113636363636363,78.79,381.82
Random5_5_300,4407,5,300,10 states,8 symbols,5086,27,5,11,8,63,0,0,189.0312,1200,1200,763,1188,12,437,0.98,0.64,0.99,0.80,0.80,0.80,0.8785714285714286,84.38,196.88
Random5_8_1200,6523,8,1200,10 states,8 symbols,19789,31,1,11,8,8,0,0,2953.1648,4800,4800,4425,4791,9,375,1.00,0.92,1.00,1.00,1.00,1.00,0.9517857142857142,96.88,25.00
Random5_9_600,2895,9,600,10 states,8 symbols,10121,31,1,11,8,42,0,0,777.1276,2400,2400,2194,2393,7,206,1.00,0.91,1.00,1.00,1.00,1.00,0.9517857142857142,96.88,131.25
Random5_2_1200,8637,2,1200,10 states,8 symbols,19715,31,0,10,8,0,0,0,3241.2010,4800,4800,4800,4800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0,100.00,0.00
Random5_4_37,1794,4,37,10 states,8 symbols,498,22,18,15,8,595,0,0,4.6288,148,148,5,146,2,143,0.71,0.03,0.99,0.10,0.50,0.50,0.39166666666666666,55.00,1487.50
Random5_1_150,8749,1,150,10 states,8 symbols,2510,26,10,13,8,150,0,0,50.3764,600,600,268,565,35,332,0.88,0.45,0.94,0.60,0.70,0.70,0.5958333333333333,72.22,416.67
Random5_1_1200,8749,1,1200,10 states,8 symbols,19809,31,0,10,8,0,0,0,3017.7521,4800,4800,4800,4800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0,100.00,0.00
Random5_0_600,6481,0,600,10 states,8 symbols,10084,28,6,12,8,54,0,0,761.3947,2400,2400,1505,2374,26,895,0.98,0.63,0.99,0.80,0.80,0.80,0.8736111111111111,82.35,158.82
Random5_8_18,6523,8,18,10 states,8 symbols,180,18,18,14,8,476,0,0,0.7573,80,80,3,79,1,77,0.75,0.04,0.99,0.10,0.50,0.50,0.31785714285714284,50.00,1322.22
Random5_5_0,4407,5,0,10 states,8 symbols,180,18,18,14,8,476,0,0,0.7506,80,80,2,80,0,78,1.00,0.03,1.00,0.00,0.50,0.50,0.31785714285714284,50.00,1322.22
Random5_9_300,2895,9,300,10 states,8 symbols,5110,31,0,11,8,66,0,0,175.2583,1200,1200,1090,1200,0,110,1.00,0.91,1.00,1.00,1.00,1.00,0.963109756097561,100.00,212.90
Random5_4_600,1794,4,600,10 states,8 symbols,10160,33,2,13,8,16,0,0,751.4638,2400,2400,1651,2376,24,749,0.99,0.69,0.99,0.80,0.80,0.80,0.8329787234042554,94.29,45.71
Random5_1_75,8749,1,75,10 states,8 symbols,1174,27,8,13,8,310,0,0,12.7488,300,300,11,300,0,289,1.00,0.04,1.00,0.10,0.50,0.50,0.6941489361702128,77.14,885.71
Random5_8_37,6523,8,37,10 states,8 symbols,509,24,8,15,8,461,0,0,1.9139,148,148,8,148,0,140,1.00,0.05,1.00,0.10,0.50,0.50,0.6076086956521739,75.00,1440.62
Random5_3_37,9653,3,37,10 states,8 symbols,498,24,9,14,8,141,0,0,2.9646,148,148,16,145,3,132,0.84,0.11,0.98,0.20,0.50,0.50,0.5141304347826088,72.73,427.27
Random5_7_150,5161,7,150,10 states,8 symbols,2531,27,14,17,8,543,0,0,49.1195,600,600,62,593,7,538,0.90,0.10,0.99,0.20,0.50,0.50,0.5317982456140351,65.85,1324.39
