File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,Structural Difference_2
Random1_1_1,9563,1,1,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1028,36,36,1,36,0,35,1.0,0.03,1.0,0.1,0.5,0.5,0.3904761904761905,38.46,646.15,
Random1_8_1,7796,8,1,7 states,6 symbols,57,5,8,8,6,84,0,0,0.0941,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_4_1,7794,4,1,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1081,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_0_1,8580,0,1,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1149,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_9_1,509,9,1,7 states,6 symbols,57,5,8,8,6,84,0,0,0.0921,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_6_1,4424,6,1,7 states,6 symbols,57,5,8,8,6,84,0,0,0.095,36,36,1,36,0,35,1.0,0.03,1.0,0.1,0.5,0.5,0.3904761904761905,38.46,646.15,
Random1_2_1,1249,2,1,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1126,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_3_1,9917,3,1,7 states,6 symbols,57,5,8,8,6,84,0,0,0.0947,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_7_1,1335,7,1,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1025,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_5_1,6644,5,1,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1002,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
