File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,Structural Difference_2
Random1_0_12,8580,0,12,7 states,6 symbols,96,10,2,7,6,28,0,0,0.206,48,48,0,48,0,48,0.0,0.0,0.0,0.0,0.5,0.0,0.7222222222222222,83.33,233.33,
Random1_9_1,509,9,1,7 states,6 symbols,57,5,8,8,6,84,0,0,0.0921,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_8_100,3548,8,100,7 states,6 symbols,1079,15,0,7,6,9,0,0,20.5714,400,400,400,400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,60.0,1.0
Random1_0_0,8580,0,0,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1069,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_6_100,5325,6,100,7 states,6 symbols,1095,15,0,7,6,4,0,0,21.5131,400,400,400,400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,26.67,1.0
Random1_9_0,509,9,0,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1002,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_4_0,7794,4,0,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1055,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_9_50,509,9,50,7 states,6 symbols,552,15,0,7,6,41,0,0,3.4819,200,200,200,200,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,273.33,
Random1_0_6,8580,0,6,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1067,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_4_3,7794,4,3,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1071,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_3_25,9917,3,25,7 states,6 symbols,250,13,3,8,6,41,0,0,0.7085,100,100,22,100,0,78,1.0,0.22,1.0,0.4,0.6,0.6,0.7287784679089027,81.25,256.25,
Random1_4_50,7794,4,50,7 states,6 symbols,551,15,0,7,6,22,0,0,2.5597,200,200,200,200,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,146.67,
Random1_5_12,6644,5,12,7 states,6 symbols,98,14,3,10,6,95,0,0,0.1678,48,48,0,48,0,48,0.0,0.0,0.0,0.0,0.5,0.0,0.4734432234432234,82.35,558.82,
Random1_3_3,9917,3,3,7 states,6 symbols,57,5,8,8,6,84,0,0,0.0959,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_6_25,4424,6,25,7 states,6 symbols,240,13,2,8,6,30,0,0,0.7065,100,100,5,100,0,95,1.0,0.05,1.0,0.1,0.5,0.5,0.8376623376623377,86.67,200.0,
Random1_6_1,4424,6,1,7 states,6 symbols,57,5,8,8,6,84,0,0,0.095,36,36,1,36,0,35,1.0,0.03,1.0,0.1,0.5,0.5,0.3904761904761905,38.46,646.15,
Random1_1_12,9563,1,12,7 states,6 symbols,90,7,6,8,6,89,0,0,0.1364,48,48,0,48,0,48,0.0,0.0,0.0,0.0,0.5,0.0,0.536904761904762,53.85,684.62,
Random1_8_6,7796,8,6,7 states,6 symbols,57,5,8,8,6,84,0,0,0.0983,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_8_25,7796,8,25,7 states,6 symbols,257,14,1,7,6,60,0,0,0.6302,100,100,70,100,0,30,1.0,0.7,1.0,0.8,0.8,0.8,0.9523809523809524,93.33,400.0,
Random1_2_1,1249,2,1,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1126,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_9_6,509,9,6,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1029,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_2_0,1249,2,0,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1031,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_4_100,9610,4,100,7 states,6 symbols,1088,15,0,7,6,0,0,0,12.0311,400,400,400,400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,,100.0,0.0,
Random1_4_12,7794,4,12,7 states,6 symbols,93,6,12,10,6,137,0,0,0.2094,48,48,1,48,0,47,1.0,0.02,1.0,0.0,0.5,0.5,0.3809523809523809,33.33,761.11,
Random1_3_1,9917,3,1,7 states,6 symbols,57,5,8,8,6,84,0,0,0.0947,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_7_3,1335,7,3,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1035,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_7_6,1335,7,6,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1169,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_6_0,4424,6,0,7 states,6 symbols,57,5,8,8,6,84,0,0,0.0961,36,36,1,36,0,35,1.0,0.03,1.0,0.1,0.5,0.5,0.3904761904761905,38.46,646.15,
Random1_5_3,6644,5,3,7 states,6 symbols,57,5,8,8,6,84,0,0,0.0978,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_9_25,509,9,25,7 states,6 symbols,260,16,0,8,6,54,0,0,1.263,100,100,100,100,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9109730848861284,100.0,337.5,
Random1_2_50,1249,2,50,7 states,6 symbols,554,15,0,7,6,23,0,0,2.7394,200,200,200,200,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,153.33,
Random1_3_6,9917,3,6,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1038,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_8_12,7796,8,12,7 states,6 symbols,97,9,5,8,6,98,0,0,0.1407,48,48,0,48,0,48,0.0,0.0,0.0,0.0,0.5,0.0,0.3809523809523809,64.29,700.0,
Random1_7_12,1335,7,12,7 states,6 symbols,95,10,2,7,6,24,0,0,0.1307,48,48,5,48,0,43,1.0,0.1,1.0,0.2,0.6,0.6,0.7222222222222222,83.33,200.0,
Random1_1_50,9563,1,50,7 states,6 symbols,544,16,0,8,6,61,0,0,2.6953,200,200,95,200,0,105,1.0,0.47,1.0,0.6,0.7,0.7,0.9109730848861284,100.0,381.25,
Random1_3_12,9917,3,12,7 states,6 symbols,98,9,5,8,6,75,0,0,0.1499,48,48,4,48,0,44,1.0,0.08,1.0,0.2,0.5,0.5,0.5714285714285714,64.29,535.71,
Random1_1_100,1842,1,100,7 states,6 symbols,1122,14,1,7,6,1,0,0,17.5409,400,400,331,400,0,69,1.0,0.83,1.0,0.9,0.9,0.9,0.9523809523809524,93.33,6.67,
Random1_0_100,3646,0,100,7 states,6 symbols,1119,15,0,7,6,3,0,0,33.6039,400,400,400,400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,20.0,
Random1_4_6,7794,4,6,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1105,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_8_50,7796,8,50,7 states,6 symbols,537,14,1,7,6,32,0,0,2.5618,200,200,143,200,0,57,1.0,0.71,1.0,0.8,0.9,0.9,0.9523809523809524,93.33,213.33,
Random1_7_1,1335,7,1,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1025,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_0_3,8580,0,3,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1145,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_5_1,6644,5,1,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1002,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_1_3,9563,1,3,7 states,6 symbols,57,5,8,8,6,84,0,0,0.0992,36,36,1,36,0,35,1.0,0.03,1.0,0.1,0.5,0.5,0.3904761904761905,38.46,646.15,
Random1_5_6,6644,5,6,7 states,6 symbols,57,5,8,8,6,84,0,0,0.0935,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_7_25,1335,7,25,7 states,6 symbols,253,11,2,7,6,23,0,0,0.4352,100,100,7,100,0,93,1.0,0.07,1.0,0.1,0.5,0.5,0.7518796992481203,84.62,176.92,
Random1_3_50,9917,3,50,7 states,6 symbols,546,16,0,8,6,31,0,0,2.5397,200,200,86,200,0,114,1.0,0.43,1.0,0.6,0.7,0.7,0.9109730848861284,100.0,193.75,
Random1_0_50,8580,0,50,7 states,6 symbols,560,16,0,8,6,24,0,0,2.6533,200,200,200,200,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9109730848861284,100.0,150.0,
Random1_2_100,2941,2,100,7 states,6 symbols,1103,15,0,7,6,10,0,0,21.6709,400,400,400,400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,66.67,
Random1_6_3,4424,6,3,7 states,6 symbols,57,5,8,8,6,84,0,0,1.6325,36,36,1,36,0,35,1.0,0.03,1.0,0.1,0.5,0.5,0.3904761904761905,38.46,646.15,
Random1_7_100,143,7,100,7 states,6 symbols,1110,15,0,7,6,17,0,0,23.1783,400,400,400,400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,113.33,1.0
