File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges
bluetooth_7_75,8095,7,75,15 states,15 symbols,1995,50,113,997,15,5232,38,0,843.6104,30,28,93699,4818441,TIMEOUT,5397.0208,,,,,,,,-1,-1,-1,,-1,-1,30.67,3209.82
bluetooth_5_75,5571,5,75,15 states,15 symbols,1994,55,105,986,15,8253,42,0,925.1466,30,28,93380,4790416,TIMEOUT,5329.1766,,,,,,,,-1,-1,-1,,-1,-1,34.38,5158.12
bluetooth_0_75,6773,0,75,15 states,15 symbols,2020,68,96,1010,15,10074,45,0,879.9222,30,28,94076,4847280,TIMEOUT,5441.2018,,,,,,,,-1,-1,-1,,-1,-1,41.46,6142.68
bluetooth_1_75,4955,1,75,15 states,15 symbols,2007,49,114,1000,15,9097,34,0,868.5101,30,28,93786,4824708,TIMEOUT,5501.5378,,,,,,,,-1,-1,-1,,-1,-1,30.06,5580.98
bluetooth_4_75,8493,4,75,15 states,15 symbols,2019,60,126,1008,15,7791,38,0,1405.3026,30,28,94018,4880106,TIMEOUT,5319.5667,,,,,,,,-1,-1,-1,,-1,-1,32.26,4188.71
bluetooth_9_75,2581,9,75,15 states,15 symbols,1993,47,107,995,15,6963,38,0,721.6911,30,28,93641,4799125,TIMEOUT,5404.8013,,,,,,,,-1,-1,-1,,-1,-1,30.52,4521.43
bluetooth_3_75,7492,3,75,15 states,15 symbols,2022,53,89,1005,15,6707,42,0,910.1536,30,28,93931,4799831,TIMEOUT,5484.047,,,,,,,,-1,-1,-1,,-1,-1,37.32,4723.24
bluetooth_6_75,5064,6,75,15 states,15 symbols,2018,50,118,1003,15,8169,41,0,790.268,30,28,93873,4839385,TIMEOUT,5411.3735,,,,,,,,-1,-1,-1,,-1,-1,29.76,4862.5
bluetooth_2_75,8134,2,75,15 states,15 symbols,2005,61,106,993,15,6855,43,0,998.9875,30,28,93583,4816813,TIMEOUT,5398.9183,,,,,,,,-1,-1,-1,,-1,-1,36.53,4104.79
bluetooth_8_75,7258,8,75,15 states,15 symbols,2019,60,90,1009,15,6049,39,0,847.4779,30,28,94047,4821643,TIMEOUT,5380.8488,,,,,,,,-1,-1,-1,,-1,-1,40,4032.67
