File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
bluetooth_1_75,4955,1,75,15 states,15 symbols,2007,49,114,1000,15,9097,34,0,868.5101,30,28,93786,4824708,TIMEOUT,5501.5378,,,,,,,,-1.0,-1.0,-1.0,,-1.0,-1.0,30.06,5580.98,,30,28,93786,4824708,TIMEOUT,5405.1081,,,,,,,,,,,,,
bluetooth_0_150,6773,0,150,15 states,15 symbols,4186,74,31,2082,15,2429,54,0,1858.991,30,28,125164,6987450,TIMEOUT,5666.7733,,,,,,,,-1.0,-1.0,-1.0,,-1.0,-1.0,70.48,2313.33,,30,28,125164,6987450,TIMEOUT,5598.2877,,,,,,,,,,,,,
bluetooth_9_9,2581,9,9,15 states,15 symbols,223,7,30,111,15,1444,9,0,1.4074,13,12,14469,345839,SAT,621.5017,56.0,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1607142857142857,18.92,3902.7,,13,12,14469,345839,SAT,619.5649,56,56,1,56,0,55,1.00,0.02,1.00,0.00,0.50,0.50,0.15
bluetooth_9_0,2581,9,0,15 states,15 symbols,223,7,30,111,15,1444,9,0,1.4257,13,12,14469,345839,SAT,619.9342,56.0,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1392857142857143,18.92,3902.7,,13,12,14469,345839,SAT,619.8058,56,56,1,56,0,55,1.00,0.02,1.00,0.00,0.50,0.50,0.15
bluetooth_6_0,5064,6,0,15 states,15 symbols,223,7,30,111,15,1444,9,0,1.4133,13,12,14469,345839,SAT,625.9792,56.0,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.5,0.0,0.151004016064257,18.92,3902.7,,13,12,14469,345839,SAT,619.6916,56,56,1,56,0,55,1.00,0.02,1.00,0.00,0.50,0.50,0.15
bluetooth_9_18,2581,9,18,15 states,15 symbols,342,7,53,168,15,3258,12,0,5.9992,16,15,22416,630705,SAT,1038.0236,72.0,72.0,0.0,72.0,0.0,72.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1634766527970411,11.67,5430.0,,16,15,22416,630705,SAT,1021.0967,72,72,0,72,0,72,0.00,0.00,0.00,0.00,0.50,0.00,0.18270920018492834
bluetooth_4_75,8493,4,75,15 states,15 symbols,2019,60,126,1008,15,7791,38,0,1405.3026,30,28,94018,4880106,TIMEOUT,5319.5667,,,,,,,,-1.0,-1.0,-1.0,,-1.0,-1.0,32.26,4188.71,,30,28,94018,4880106,TIMEOUT,5272.3795,,,,,,,,,,,,,
bluetooth_5_18,5571,5,18,15 states,15 symbols,341,8,46,165,15,2811,12,0,5.5047,16,15,22368,625734,SAT,1052.5305,72.0,72.0,0.0,72.0,0.0,72.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0765567765567765,14.81,5205.56,,16,15,22368,625734,SAT,1234.8865,72,72,0,72,0,72,0.00,0.00,0.00,0.00,0.50,0.00,0.02857142857142857
bluetooth_0_18,6773,0,18,15 states,15 symbols,340,15,41,168,15,2324,12,0,6.3681,18,17,27990,845495,SAT,1622.8891,72.0,72.0,1.0,72.0,0.0,71.0,1.0,0.01,1.0,0.0,0.5,0.5,0.1619854721549636,26.79,4150.0,,18,17,27990,845495,SAT,1507.7360,72,72,0,72,0,72,0.00,0.00,0.00,0.00,0.50,0.00,0.14456654456654458
bluetooth_5_1200,8512,5,1200,15 states,15 symbols,33456,71,0,10746,15,0,62,0,107339.4395,16,15,191664,7332211,SAT,1677.8012,4800.0,4800.0,4800.0,4800.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,16,15,191664,7332211,SAT,1634.4289,4800,4800,4800,4800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
bluetooth_3_9,7492,3,9,15 states,15 symbols,223,7,30,111,15,1444,9,0,1.5601,13,12,14469,345839,SAT,621.2822,56.0,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1392857142857143,18.92,3902.7,,13,12,14469,345839,SAT,620.4375,56,56,1,56,0,55,1.00,0.02,1.00,0.00,0.50,0.50,0.15
bluetooth_2_4,8134,2,4,15 states,15 symbols,223,7,30,111,15,1444,9,0,1.4558,13,12,14469,345839,SAT,626.5851,56.0,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1312169312169312,18.92,3902.7,,13,12,14469,345839,SAT,619.5750,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,0.15
bluetooth_9_75,2581,9,75,15 states,15 symbols,1993,47,107,995,15,6963,38,0,721.6911,30,28,93641,4799125,TIMEOUT,5404.8013,,,,,,,,-1.0,-1.0,-1.0,,-1.0,-1.0,30.52,4521.43,,30,28,93641,4799125,TIMEOUT,5384.1299,,,,,,,,,,,,,
bluetooth_2_150,8134,2,150,15 states,15 symbols,4149,88,134,2067,15,9306,55,0,9196.273,30,28,124729,7152909,TIMEOUT,5545.1076,,,,,,,,-1.0,-1.0,-1.0,,-1.0,-1.0,39.64,4191.89,,30,28,124729,7152909,TIMEOUT,5538.4002,,,,,,,,,,,,,
bluetooth_6_37,5064,6,37,15 states,15 symbols,913,29,70,456,15,7827,26,0,62.7038,25,24,59550,2468124,SAT,3745.2132,148.0,148.0,1.0,148.0,0.0,147.0,1.0,0.01,1.0,0.0,0.5,0.5,0.1005952380952381,29.29,7906.06,,26,25,63934,2721687,SAT,4140.3468,148,148,12,147,1,136,0.92,0.08,0.99,0.10,0.50,0.50,0.19047619047619047
bluetooth_0_9,6773,0,9,15 states,15 symbols,223,7,30,111,15,1444,9,0,1.9052,13,12,14469,345839,SAT,622.8071,56.0,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.5,0.0,0.15,18.92,3902.7,,13,12,14469,345839,SAT,620.6284,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,0.15
