File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge
TCP_8_75,6797,8,75,14 states,28 symbols,1457,211,182,727,263,2084029,,,9503.2717,28,26,99846,4777503,TIMEOUT,5000.6834,,,,,,,,-1,-1,-1,,-1,-1,53.69
TCP_4_75,5450,4,75,14 states,28 symbols,1455,255,142,727,271,2537426,,,12175.2510,28,26,99846,4783335,TIMEOUT,4928.8127,,,,,,,,-1,-1,-1,,-1,-1,64.23
TCP_1_75,7193,1,75,14 states,28 symbols,1450,300,143,725,271,2831442,,,13736.8730,28,26,99792,4846783,TIMEOUT,5089.1601,,,,,,,,-1,-1,-1,,-1,-1,67.72
TCP_2_75,6887,2,75,14 states,28 symbols,1446,222,168,720,259,1849552,,,8349.3824,28,26,99657,4760459,TIMEOUT,5013.4242,,,,,,,,-1,-1,-1,,-1,-1,56.92
TCP_0_75,9654,0,75,14 states,28 symbols,1449,249,149,723,262,2119200,,,9663.9426,28,26,99738,4777553,TIMEOUT,5009.3577,,,,,,,,-1,-1,-1,,-1,-1,62.56
TCP_3_75,8776,3,75,14 states,28 symbols,1437,266,161,718,263,2747791,,,12314.4723,28,26,99603,4810785,TIMEOUT,5000.2964,,,,,,,,-1,-1,-1,,-1,-1,62.30
TCP_7_75,5209,7,75,14 states,28 symbols,1452,254,143,726,269,1995617,,,9244.2355,28,26,99819,4781525,TIMEOUT,5106.1910,,,,,,,,-1,-1,-1,,-1,-1,63.98
TCP_5_75,1923,5,75,14 states,28 symbols,1449,252,135,724,259,2078223,,,10186.4675,28,26,99765,4763325,TIMEOUT,5020.5865,,,,,,,,-1,-1,-1,,-1,-1,65.12
TCP_9_75,250,9,75,14 states,28 symbols,1448,217,162,724,263,1867044,,,8709.2054,28,26,99765,4751661,TIMEOUT,5103.3879,,,,,,,,-1,-1,-1,,-1,-1,57.26
TCP_6_75,3237,6,75,14 states,28 symbols,1448,232,166,724,268,2245415,,,9576.9078,28,26,99765,4779363,TIMEOUT,5035.8381,,,,,,,,-1,-1,-1,,-1,-1,58.29
