File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
openSSL_9_75,8768,9,75,6 states,20 symbols,677,11,0,263,18,118,25,0,3.3344,6,5,3348,43603,SAT,0.3734,300,300,116,300,0,184,1.0,0.39,1.0,0.6,0.7,0.7,0.8642857142857143,100.0,1072.73,,6,5,3348,43603,SAT,0.4068,300,300,188,300,0,112,1.00,0.63,1.00,0.80,0.80,0.80,0.8642857142857143
openSSL_5_75,3796,5,75,6 states,20 symbols,676,11,0,287,18,109,30,0,4.1544,6,5,3492,45715,SAT,0.3616,300,300,115,299,1,185,0.99,0.38,1.0,0.6,0.7,0.7,0.7857142857142857,100.0,990.91,,6,5,3492,45715,SAT,0.4632,300,300,187,300,0,113,1.00,0.62,1.00,0.80,0.80,0.80,0.8642857142857143
openSSL_8_75,7727,8,75,6 states,20 symbols,679,11,0,315,18,113,28,0,2.8747,6,5,3660,48179,SAT,0.3817,300,300,114,300,0,186,1.0,0.38,1.0,0.6,0.7,0.7,0.8642857142857143,100.0,1027.27,,6,5,3660,48179,SAT,0.4859,300,300,170,300,0,130,1.00,0.57,1.00,0.70,0.80,0.80,0.8642857142857143
openSSL_7_75,312,7,75,6 states,20 symbols,693,10,0,296,18,89,26,0,2.5532,6,5,3546,46435,SAT,0.3641,300,300,300,300,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.8119047619047619,100.0,890.0,,6,5,3546,46435,SAT,0.4702,300,300,174,274,26,126,0.87,0.58,0.91,0.70,0.70,0.70,0.8119047619047619
openSSL_4_75,6940,4,75,6 states,20 symbols,693,11,0,286,18,78,27,0,3.0229,6,5,3486,45627,SAT,0.3414,300,300,116,297,3,184,0.97,0.39,0.99,0.6,0.7,0.7,0.8119047619047619,100.0,709.09,,6,5,3486,45627,SAT,0.4438,300,300,300,290,10,0,0.97,1.00,0.97,1.00,1.00,1.00,0.838095238095238
openSSL_6_75,9758,6,75,6 states,20 symbols,691,26,0,344,18,838,28,0,11.4917,6,5,3834,51811,SAT,0.5177,300,300,116,300,0,184,1.0,0.39,1.0,0.6,0.7,0.7,0.838095238095238,100.0,3223.08,,6,5,3834,51811,SAT,0.6575,300,300,180,283,17,120,0.91,0.60,0.94,0.70,0.80,0.80,0.7857142857142857
openSSL_2_75,180,2,75,6 states,20 symbols,681,10,0,316,18,95,26,0,2.5872,6,5,3666,48195,SAT,0.3901,300,300,300,260,40,0,0.88,1.0,0.87,0.9,0.9,0.9,0.8119047619047619,100.0,950.0,,6,5,3666,48195,SAT,0.5571,300,300,176,298,2,124,0.99,0.59,0.99,0.70,0.80,0.80,0.838095238095238
openSSL_3_75,6240,3,75,6 states,20 symbols,687,10,0,322,18,31,29,0,2.6592,6,5,3702,48723,SAT,0.3788,300,300,113,277,23,187,0.83,0.38,0.92,0.5,0.7,0.7,0.8119047619047619,100.0,310.0,,6,5,3702,48723,SAT,0.4605,300,300,300,294,6,0,0.98,1.00,0.98,1.00,1.00,1.00,0.8642857142857143
openSSL_0_75,5989,0,75,6 states,20 symbols,693,10,0,330,18,115,25,0,3.0643,6,5,3750,49427,SAT,0.3555,300,300,122,299,1,178,0.99,0.41,1.0,0.6,0.7,0.7,0.7857142857142857,100.0,1150.0,,6,5,3750,49427,SAT,0.3695,300,300,300,256,44,0,0.87,1.00,0.85,0.90,0.90,0.90,0.8119047619047619
openSSL_1_75,9292,1,75,6 states,20 symbols,695,10,0,321,18,96,27,0,2.8047,6,5,3696,48635,SAT,0.3712,300,300,300,299,1,0,1.0,1.0,1.0,1.0,1.0,1.0,0.838095238095238,100.0,960.0,,6,5,3696,48635,SAT,0.5890,300,300,300,245,55,0,0.85,1.00,0.82,0.90,0.90,0.90,0.7857142857142857
