File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
Random6_5_600,3720,5,600,11 states,12 symbols,11310,11,0,5126,12,0,0,0,773.9383,12,11,63252,1845274,SAT,445.3,2400,2400,1893,2400,0,507,1.0,0.79,1.0,0.9,0.9,0.9,0.9772727272727272,100.0,0.0,,12,11,63252,1845274,SAT,440.3221,2400,2400,1893,2400,0,507,1.00,0.79,1.00,0.90,0.90,0.90,0.9772727272727273
Random6_3_600,3488,3,600,11 states,12 symbols,11290,14,0,4539,12,0,0,0,1092.0189,12,11,56208,1637753,SAT,438.5938,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,12,11,56208,1637753,SAT,435.8458,2400,2400,2400,2400,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
Random6_1_600,5059,1,600,11 states,12 symbols,11292,15,0,4396,12,0,0,0,1201.337,12,11,54492,1587276,SAT,465.3673,2400,2400,1632,2394,6,768,1.0,0.68,1.0,0.8,0.8,0.8,0.9545454545454546,100.0,0.0,,12,11,54492,1587276,SAT,445.5528,2400,2400,1965,2358,42,435,0.98,0.82,0.98,0.90,0.90,0.90,0.9545454545454546
Random6_8_600,3721,8,600,11 states,12 symbols,11254,11,0,4731,12,0,0,0,784.5203,12,11,58512,1705049,SAT,384.2372,2400,2400,1918,2400,0,482,1.0,0.8,1.0,0.9,0.9,0.9,0.9772727272727272,100.0,0.0,,12,11,58512,1705049,SAT,423.2312,2400,2400,1605,2394,6,795,1.00,0.67,1.00,0.80,0.80,0.80,0.9545454545454546
Random6_6_600,9208,6,600,11 states,12 symbols,11267,11,0,4853,12,0,0,0,692.5395,12,11,59976,1748359,SAT,435.6688,2400,2400,2400,2380,20,0,0.99,1.0,0.99,1.0,1.0,1.0,0.9772727272727272,100.0,0.0,,12,11,59976,1748359,SAT,424.3065,2400,2400,2400,2400,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
Random6_0_600,6046,0,600,11 states,12 symbols,11286,11,0,4650,12,0,0,0,742.8098,12,11,57540,1676294,SAT,440.8837,2400,2400,1934,2384,16,466,0.99,0.81,0.99,0.9,0.9,0.9,0.9772727272727272,100.0,0.0,,12,11,57540,1676294,SAT,443.5367,2400,2400,1934,2384,16,466,0.99,0.81,0.99,0.90,0.90,0.90,0.9772727272727273
Random6_4_600,9208,4,600,11 states,12 symbols,11267,11,0,4853,12,0,0,0,695.1906,12,11,59976,1748359,SAT,410.8719,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,12,11,59976,1748359,SAT,409.8462,2400,2400,2400,2400,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
Random6_9_600,3428,9,600,11 states,12 symbols,11207,14,0,4036,12,0,0,0,919.0409,12,11,50172,1459188,SAT,418.7671,2400,2400,1971,2400,0,429,1.0,0.82,1.0,0.9,0.9,0.9,0.9772727272727272,100.0,0.0,,12,11,50172,1459188,SAT,418.5856,2400,2400,1971,2400,0,429,1.00,0.82,1.00,0.90,0.90,0.90,0.9772727272727273
Random6_7_600,6380,7,600,11 states,12 symbols,11295,14,0,4215,12,0,0,0,943.1815,12,11,52320,1522733,SAT,415.4436,2400,2400,2400,2367,33,0,0.99,1.0,0.99,1.0,1.0,1.0,0.9772727272727272,100.0,0.0,,12,11,52320,1522733,SAT,408.9238,2400,2400,2400,2367,33,0,0.99,1.00,0.99,1.00,1.00,1.00,0.9772727272727273
Random6_2_600,5289,2,600,11 states,12 symbols,11230,14,0,3760,12,0,0,0,859.0845,12,11,46860,1361208,SAT,419.142,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,12,11,46860,1361208,SAT,422.0716,2400,2400,1929,2371,29,471,0.99,0.80,0.99,0.90,0.90,0.90,0.9545454545454546
