File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
Random2_0_37,9327,0,37,12 states,12 symbols,573,22,9,259,12,1157,0,0,6.1577,15,14,6600,200955,SAT,823.5919,148.0,148.0,0.0,148.0,0.0,148.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5115740740740741,70.97,3732.26,,15,14,6600,200955,SAT,967.3877,148,148,4,147,1,144,0.80,0.03,0.99,0.10,0.50,0.50,0.5115740740740741
Random2_1_37,2970,1,37,12 states,12 symbols,563,17,4,252,12,337,0,0,2.749,14,13,5894,165322,SAT,396.2569,148.0,148.0,0.0,148.0,0.0,148.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5661764705882353,80.95,1604.76,,14,13,5894,165322,SAT,501.1648,148,148,2,147,1,146,0.67,0.01,0.99,0.00,0.50,0.50,0.5208333333333333
Random2_4_37,8332,4,37,12 states,12 symbols,574,16,1,258,12,278,0,0,3.5935,13,12,5395,141603,SAT,353.3077,148.0,148.0,1.0,148.0,0.0,147.0,1.0,0.01,1.0,0.0,0.5,0.5,0.5747282608695652,94.12,1635.29,,13,12,5395,141603,SAT,416.2459,148,148,22,145,3,126,0.88,0.15,0.98,0.30,0.60,0.60,0.6527039007092199
Random2_8_37,7526,8,37,12 states,12 symbols,570,36,8,280,12,1935,0,0,19.6835,24,22,12811,565593,TIMEOUT,3251.6283,,,,,,,,-1.0,-1.0,-1.0,,-1.0,-1.0,81.82,4397.73,,24,22,12811,565593,TIMEOUT,3437.4190,,,,,,,,,,,,,
Random2_3_37,9989,3,37,12 states,12 symbols,561,12,2,274,12,210,0,0,1.7377,13,12,5603,147261,SAT,354.7688,148.0,148.0,0.0,148.0,0.0,148.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5208333333333334,85.71,1500.0,,13,12,5603,147261,SAT,516.7036,148,148,10,140,8,138,0.56,0.07,0.95,0.10,0.50,0.50,0.5625
Random2_9_37,3485,9,37,12 states,12 symbols,562,20,4,237,12,477,0,0,3.7027,15,14,6270,185573,SAT,665.077,148.0,148.0,0.0,148.0,0.0,148.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,83.33,1987.5,,15,14,6270,185573,SAT,804.5267,148,148,4,147,1,144,0.80,0.03,0.99,0.10,0.50,0.50,0.30952380952380953
Random2_5_37,8737,5,37,12 states,12 symbols,570,13,2,255,12,218,0,0,1.6899,13,12,5356,139676,SAT,355.1035,148.0,148.0,0.0,148.0,0.0,148.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6041666666666666,86.67,1453.33,,13,12,5356,139676,SAT,376.2902,148,148,1,148,0,147,1.00,0.01,1.00,0.00,0.50,0.50,0.6527039007092199
Random2_6_37,1871,6,37,12 states,12 symbols,572,9,0,282,12,210,0,0,1.8099,12,11,5124,125078,SAT,311.0692,148.0,148.0,3.0,148.0,0.0,145.0,1.0,0.02,1.0,0.0,0.5,0.5,0.6534090909090908,100.0,2333.33,,12,11,5124,125078,SAT,323.9427,148,148,38,146,2,110,0.95,0.26,0.99,0.40,0.60,0.60,0.8276515151515151
Random2_2_37,8690,2,37,12 states,12 symbols,568,21,8,251,12,606,0,0,4.0631,16,15,7104,225711,SAT,1013.3758,148.0,148.0,0.0,148.0,0.0,148.0,0.0,0.0,0.0,0.0,0.5,0.0,0.43125,72.41,2089.66,,16,15,7104,225711,SAT,1108.8969,148,148,0,148,0,148,0.00,0.00,0.00,0.00,0.50,0.00,0.43125
Random2_7_37,216,7,37,12 states,12 symbols,562,14,3,272,12,272,0,0,1.9512,13,12,5577,147441,SAT,259.0185,148.0,148.0,0.0,148.0,0.0,148.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5208333333333334,82.35,1600.0,,13,12,5577,147441,SAT,369.8027,148,148,12,145,3,136,0.80,0.08,0.98,0.10,0.50,0.50,0.694813829787234
