File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
Random3_7_1200,9675,7,1200,10 states,8 symbols,19890,15,0,9649,8,0,0,0,5106.4809,11,10,107118,2889577,SAT,225.4605,4800.0,4800.0,4800.0,4800.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,11,10,107118,2889577,SAT,200.9122,4800,4800,4800,4800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
Random3_9_1200,3863,9,1200,10 states,8 symbols,19843,13,0,9463,8,0,0,0,3124.1375,11,10,105072,2833665,SAT,179.0686,4800.0,4800.0,4800.0,4800.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,11,10,105072,2833665,SAT,164.5237,4800,4800,4800,4800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
Random3_0_1200,221,0,1200,10 states,8 symbols,19823,13,0,9139,8,4,0,0,2823.8409,11,10,101508,2737113,SAT,196.106,4800.0,4800.0,4800.0,4800.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,30.77,,11,10,101508,2737113,SAT,193.6932,4800,4800,4800,4800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
Random3_4_1200,3551,4,1200,10 states,8 symbols,19696,13,0,8943,8,0,0,0,3154.27,11,10,99352,2678705,SAT,171.5557,4800.0,4800.0,4800.0,4800.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,11,10,99352,2678705,SAT,175.2987,4800,4800,4800,4800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
Random3_2_1200,1564,2,1200,10 states,8 symbols,19799,13,0,8844,8,0,0,0,2727.1746,11,10,98263,2649203,SAT,193.9692,4800.0,4800.0,4800.0,4800.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,11,10,98263,2649203,SAT,179.3324,4800,4800,4800,4800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
Random3_3_1200,7968,3,1200,10 states,8 symbols,19863,15,0,9774,8,0,0,0,4973.1555,11,10,108493,2926827,SAT,224.1183,4800.0,4800.0,4800.0,4800.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,11,10,108493,2926827,SAT,234.8752,4800,4800,4800,4800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
Random3_1_1200,9321,1,1200,10 states,8 symbols,19783,13,0,9197,8,0,0,0,2959.7194,11,10,102146,2754397,SAT,242.8428,4800.0,4800.0,4800.0,4732.0,68.0,0.0,0.99,1.0,0.99,1.0,1.0,1.0,0.975,100.0,0.0,,11,10,102146,2754397,SAT,211.3969,4800,4800,4800,4732,68,0,0.99,1.00,0.99,1.00,1.00,1.00,0.975
Random3_6_1200,6253,6,1200,10 states,8 symbols,19917,15,0,9780,8,0,0,0,4993.3039,11,10,108559,2928615,SAT,263.2143,4800.0,4800.0,4800.0,4800.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,11,10,108559,2928615,SAT,212.1460,4800,4800,4800,4800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
Random3_5_1200,6267,5,1200,10 states,8 symbols,19773,13,0,8861,8,0,0,0,3024.8664,11,10,98450,2654269,SAT,202.4867,4800.0,4800.0,4800.0,4800.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,11,10,98450,2654269,SAT,209.3851,4800,4800,4800,4800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
Random3_8_1200,1559,8,1200,10 states,8 symbols,19744,15,0,9528,8,0,0,0,4621.9377,11,10,105787,2853519,SAT,206.2248,4800.0,4800.0,4800.0,4751.0,49.0,0.0,0.99,1.0,0.99,1.0,1.0,1.0,0.975,100.0,0.0,,11,10,105787,2853519,SAT,188.2853,4800,4800,4800,4751,49,0,0.99,1.00,0.99,1.00,1.00,1.00,0.975
