File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
Random3_9_18,3863,9,18,10 states,8 symbols,196,4,16,94,8,367,0,0,0.9487,11,10,2013,43397,SAT,35.2683,84.0,84.0,0.0,84.0,0.0,84.0,0.0,0.0,0.0,0.0,0.5,0.0,0.225,20.0,1835.0,,11,10,2013,43397,SAT,35.2417,84,84,0,84,0,84,0.00,0.00,0.00,0.00,0.50,0.00,0.225
Random3_1_18,9321,1,18,10 states,8 symbols,196,4,16,94,8,367,0,0,0.8335,11,10,2013,43397,SAT,35.1153,84.0,84.0,0.0,84.0,0.0,84.0,0.0,0.0,0.0,0.0,0.5,0.0,0.225,20.0,1835.0,,11,10,2013,43397,SAT,35.2761,84,84,0,84,0,84,0.00,0.00,0.00,0.00,0.50,0.00,0.225
Random3_4_18,3551,4,18,10 states,8 symbols,196,4,16,94,8,367,0,0,0.8005,11,10,2013,43397,SAT,35.3032,84.0,84.0,0.0,84.0,0.0,84.0,0.0,0.0,0.0,0.0,0.5,0.0,0.225,20.0,1835.0,,11,10,2013,43397,SAT,35.2399,84,84,0,84,0,84,0.00,0.00,0.00,0.00,0.50,0.00,0.225
Random3_0_18,221,0,18,10 states,8 symbols,196,4,16,94,8,367,0,0,0.8139,11,10,2013,43397,SAT,33.2688,84.0,84.0,0.0,84.0,0.0,84.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,20.0,1835.0,,11,10,2013,43397,SAT,35.2737,84,84,0,84,0,84,0.00,0.00,0.00,0.00,0.50,0.00,0.225
Random3_3_18,7968,3,18,10 states,8 symbols,196,4,16,94,8,367,0,0,0.7933,11,10,2013,43397,SAT,35.1846,84.0,84.0,0.0,84.0,0.0,84.0,0.0,0.0,0.0,0.0,0.5,0.0,0.225,20.0,1835.0,,11,10,2013,43397,SAT,35.2263,84,84,0,84,0,84,0.00,0.00,0.00,0.00,0.50,0.00,0.225
Random3_2_18,1564,2,18,10 states,8 symbols,196,4,16,94,8,367,0,0,0.8444,11,10,2013,43397,SAT,33.2439,84.0,84.0,0.0,84.0,0.0,84.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,20.0,1835.0,,11,10,2013,43397,SAT,35.2742,84,84,0,84,0,84,0.00,0.00,0.00,0.00,0.50,0.00,0.225
Random3_6_18,6253,6,18,10 states,8 symbols,196,4,16,94,8,367,0,0,0.8684,11,10,2013,43397,SAT,33.982,84.0,84.0,1.0,84.0,0.0,83.0,1.0,0.01,1.0,0.0,0.5,0.5,0.25,20.0,1835.0,,11,10,2013,43397,SAT,35.2724,84,84,1,84,0,83,1.00,0.01,1.00,0.00,0.50,0.50,0.225
Random3_8_18,1559,8,18,10 states,8 symbols,196,4,16,94,8,367,0,0,0.7907,11,10,2013,43397,SAT,33.2857,84.0,84.0,2.0,84.0,0.0,82.0,1.0,0.02,1.0,0.0,0.5,0.5,0.25,20.0,1835.0,,11,10,2013,43397,SAT,35.2438,84,84,1,84,0,83,1.00,0.01,1.00,0.00,0.50,0.50,0.225
Random3_7_18,9675,7,18,10 states,8 symbols,196,4,16,94,8,367,0,0,0.7999,11,10,2013,43397,SAT,33.7562,84.0,84.0,1.0,84.0,0.0,83.0,1.0,0.01,1.0,0.0,0.5,0.5,0.25,20.0,1835.0,,11,10,2013,43397,SAT,35.2057,84,84,0,84,0,84,0.00,0.00,0.00,0.00,0.50,0.00,0.225
Random3_5_18,6267,5,18,10 states,8 symbols,196,4,16,94,8,367,0,0,0.8165,11,10,2013,43397,SAT,35.7271,84.0,84.0,0.0,84.0,0.0,84.0,0.0,0.0,0.0,0.0,0.5,0.0,0.225,20.0,1835.0,,11,10,2013,43397,SAT,35.0824,84,84,0,84,0,84,0.00,0.00,0.00,0.00,0.50,0.00,0.225
