File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges
Random6_7_150,6380,7,150,11 states,12 symbols,2752,35,13,21,12,646,0,0,111.5819,600,600,128,591,9,472,0.93,0.21,0.98,0.30,0.60,0.60,0.48663101604278075,72.92,1345.83
Random6_1_150,5059,1,150,11 states,12 symbols,2783,34,11,17,12,451,0,0,101.3848,600,600,124,574,26,476,0.83,0.21,0.96,0.30,0.60,0.60,0.606371087928465,75.56,1002.22
Random6_4_150,9208,4,150,11 states,12 symbols,2763,36,11,20,12,527,0,0,72.2344,600,600,112,597,3,488,0.97,0.19,0.99,0.30,0.60,0.60,0.5871212121212122,76.60,1121.28
Random6_2_150,5289,2,150,11 states,12 symbols,2750,30,7,15,12,143,0,0,72.2369,600,600,158,596,4,442,0.98,0.26,0.99,0.40,0.60,0.60,0.7196969696969697,81.08,386.49
Random6_9_150,3428,9,150,11 states,12 symbols,2751,37,5,17,12,612,0,0,58.7257,600,600,253,588,12,347,0.95,0.42,0.98,0.60,0.70,0.70,0.6794670846394983,88.10,1457.14
Random6_0_150,6046,0,150,11 states,12 symbols,2783,31,10,17,12,244,0,0,53.6722,600,600,176,593,7,424,0.96,0.29,0.99,0.40,0.60,0.60,0.684609250398724,75.61,595.12
Random6_6_150,9208,6,150,11 states,12 symbols,2763,36,11,20,12,527,0,0,72.4883,600,600,112,597,3,488,0.97,0.19,0.99,0.30,0.60,0.60,0.5871212121212122,76.60,1121.28
Random6_8_150,3721,8,150,11 states,12 symbols,2778,35,11,19,12,466,0,0,69.3866,600,600,127,594,6,473,0.95,0.21,0.99,0.30,0.60,0.60,0.6136363636363636,76.09,1013.04
Random6_5_150,3720,5,150,11 states,12 symbols,2792,32,6,15,12,138,0,0,72.6517,600,600,289,582,18,311,0.94,0.48,0.97,0.60,0.70,0.70,0.7342657342657343,84.21,363.16
Random6_3_150,3488,3,150,11 states,12 symbols,2775,31,9,16,12,425,0,0,68.8121,600,600,121,596,4,479,0.97,0.20,0.99,0.30,0.60,0.60,0.634090909090909,77.50,1062.50
