File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges
Random6_4_1200,9208,4,1200,11 states,12 symbols,22190,34,0,11,12,4,0,0,4187.8757,4800,4800,4800,4800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0,100.00,11.76
Random6_0_1200,6046,0,1200,11 states,12 symbols,22239,36,1,14,12,29,0,0,4743.4556,4800,4800,3765,4795,5,1035,1.00,0.78,1.00,0.90,0.90,0.90,0.8972727272727272,97.30,78.38
Random6_9_1200,3428,9,1200,11 states,12 symbols,22093,34,2,12,12,21,0,0,4611.7980,4800,4800,4263,4771,29,537,0.99,0.89,0.99,0.90,0.90,0.90,0.946083172147002,94.44,58.33
Random6_7_1200,6380,7,1200,11 states,12 symbols,22224,34,0,11,12,0,0,0,5392.3475,4800,4800,4800,4800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0,100.00,0.00
Random6_8_1200,3721,8,1200,11 states,12 symbols,22151,33,4,13,12,62,0,0,5674.1682,4800,4800,3920,4732,68,880,0.98,0.82,0.99,0.90,0.90,0.90,0.9058441558441559,89.19,167.57
Random6_1_1200,5059,1,1200,11 states,12 symbols,22242,36,1,13,12,53,0,0,5823.1162,4800,4800,4253,4737,63,547,0.99,0.89,0.99,0.90,0.90,0.90,0.9058441558441559,97.30,143.24
Random6_3_1200,3488,3,1200,11 states,12 symbols,22249,37,1,14,12,27,0,0,5917.3983,4800,4800,4262,4741,59,538,0.99,0.89,0.99,0.90,0.90,0.90,0.8678698752228164,97.37,71.05
Random6_5_1200,3720,5,1200,11 states,12 symbols,22288,37,2,14,12,50,0,0,4572.7416,4800,4800,3501,4742,58,1299,0.98,0.73,0.99,0.80,0.90,0.90,0.8601398601398601,94.87,128.21
Random6_6_1200,9208,6,1200,11 states,12 symbols,22190,34,0,11,12,4,0,0,4198.5992,4800,4800,4800,4800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0,100.00,11.76
Random6_2_1200,5289,2,1200,11 states,12 symbols,22228,36,0,12,12,15,0,0,4772.6681,4800,4800,4460,4800,0,340,1.00,0.93,1.00,1.00,1.00,1.00,0.946083172147002,100.00,41.67
