File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
Random6_0_37,6046,0,37,11 states,12 symbols,524,9,3,257,1.7121,14,13,5964,164214,SAT,394.0457,148,148,4,148,0,144,1.0,0.03,1.0,0.1,0.5,0.5,0.4825174825174825,75.0,0.0,,14,13,5964,164214,SAT,393.0202,148,148,4,148,0,144,1.00,0.03,1.00,0.10,0.50,0.50,0.4825174825174825
Random6_2_37,5289,2,37,11 states,12 symbols,522,19,5,252,4.3024,13,12,5317,141467,SAT,360.4432,148,148,43,145,3,105,0.93,0.29,0.98,0.4,0.6,0.6,0.6098484848484849,79.17,0.0,,13,12,5317,141467,SAT,318.7655,148,148,55,144,4,93,0.93,0.37,0.97,0.50,0.70,0.70,0.5445075757575758
Random6_1_37,5059,1,37,11 states,12 symbols,518,10,3,256,1.3881,13,12,5369,139417,SAT,322.4234,148,148,46,145,3,102,0.94,0.31,0.98,0.5,0.6,0.6,0.5940522243713733,76.92,0.0,,13,12,5369,139417,SAT,317.9254,148,148,46,145,3,102,0.94,0.31,0.98,0.50,0.60,0.60,0.5940522243713733
Random6_3_37,3488,3,37,11 states,12 symbols,534,11,6,199,2.1166,15,14,5700,161295,SAT,670.399,148,148,44,141,7,104,0.86,0.3,0.95,0.4,0.6,0.6,0.5361952861952862,64.71,0.0,,15,14,5700,161295,SAT,671.0875,148,148,44,141,7,104,0.86,0.30,0.95,0.40,0.60,0.60,0.5361952861952862
Random6_7_37,6380,7,37,11 states,12 symbols,521,18,5,241,2.891,13,12,5174,136542,SAT,78.6402,148,148,45,148,0,103,1.0,0.3,1.0,0.5,0.7,0.7,0.5060444874274661,78.26,0.0,,13,12,5174,136542,SAT,69.9552,148,148,45,148,0,103,1.00,0.30,1.00,0.50,0.70,0.70,0.5060444874274661
Random6_4_37,9208,4,37,11 states,12 symbols,526,20,16,261,39.5784,18,17,8604,306176,SAT,1559.1741,148,148,37,136,12,111,0.76,0.25,0.92,0.4,0.6,0.6,0.3474025974025974,55.56,0.0,,18,17,8604,306176,SAT,1655.8862,148,148,37,135,13,111,0.74,0.25,0.91,0.40,0.60,0.60,0.33689839572192515
Random6_5_37,3720,5,37,11 states,12 symbols,523,14,8,202,2.938,14,13,5194,141514,SAT,413.3695,148,148,40,145,3,108,0.93,0.27,0.98,0.4,0.6,0.6,0.5454545454545454,63.64,0.0,,14,13,5194,141514,SAT,488.1969,148,148,60,143,5,88,0.92,0.41,0.97,0.60,0.70,0.70,0.6713286713286714
Random6_9_37,3428,9,37,11 states,12 symbols,525,13,7,211,3.0377,15,14,5880,169317,SAT,449.8593,148,148,16,147,1,132,0.94,0.11,0.99,0.2,0.6,0.6,0.4704545454545454,65.0,0.0,,15,14,5880,169317,SAT,616.7201,148,148,37,143,5,111,0.88,0.25,0.97,0.40,0.60,0.60,0.5113636363636364
Random6_6_37,9208,6,37,11 states,12 symbols,526,20,16,261,38.5698,18,17,8604,306176,SAT,1562.2076,148,148,37,136,12,111,0.76,0.25,0.92,0.4,0.6,0.6,0.3474025974025974,55.56,0.0,,18,17,8604,306176,SAT,1655.3622,148,148,37,135,13,111,0.74,0.25,0.91,0.40,0.60,0.60,0.33689839572192515
Random6_8_37,3721,8,37,11 states,12 symbols,531,10,8,263,2.6669,13,12,5460,144026,SAT,64.9511,148,148,22,144,4,126,0.85,0.15,0.97,0.3,0.6,0.6,0.3920454545454546,55.56,0.0,,13,12,5460,144026,SAT,64.7575,148,148,22,144,4,126,0.85,0.15,0.97,0.30,0.60,0.60,0.3920454545454546
