File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges
Random3_8_150,1559,8,150,10 states,8 symbols,2517,30,1,11,8,134,0,0,69.0194,600,600,534,592,8,66,0.99,0.89,0.99,0.90,0.90,0.90,0.9384146341463415,96.77,432.26
Random3_1_600,9321,1,600,10 states,8 symbols,10098,31,0,10,8,10,0,0,950.8226,2400,2400,2400,2400,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0,100.00,32.26
Random3_2_75,1564,2,75,10 states,8 symbols,1178,32,11,17,8,120,0,0,104.8562,300,300,25,295,5,275,0.83,0.08,0.98,0.20,0.50,0.50,0.4194915254237288,74.42,279.07
Random3_5_600,6267,5,600,10 states,8 symbols,10043,31,0,10,8,0,0,0,1303.3027,2400,2400,2400,2400,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0,100.00,0.00
Random3_6_0,6253,6,0,10 states,8 symbols,196,11,22,13,8,713,0,0,1.1148,84,84,0,84,0,84,0.00,0.00,0.00,0.00,0.50,0.00,0.2833333333333333,33.33,2160.61
Random3_5_75,6267,5,75,10 states,8 symbols,1196,22,16,15,8,258,0,0,15.7573,300,300,52,291,9,248,0.85,0.17,0.97,0.30,0.60,0.60,0.575,57.89,678.95
Random3_8_0,1559,8,0,10 states,8 symbols,196,11,22,13,8,713,0,0,1.0492,84,84,0,84,0,84,0.00,0.00,0.00,0.00,0.50,0.00,0.2833333333333333,33.33,2160.61
Random3_1_150,9321,1,150,10 states,8 symbols,2508,30,6,12,8,165,0,0,62.1992,600,600,336,577,23,264,0.94,0.56,0.96,0.70,0.80,0.80,0.8098404255319149,83.33,458.33
Random3_7_150,9675,7,150,10 states,8 symbols,2517,27,4,10,8,99,0,0,84.3940,600,600,491,578,22,109,0.96,0.82,0.96,0.90,0.90,0.90,0.9,87.10,319.35
Random3_4_0,3551,4,0,10 states,8 symbols,196,11,22,13,8,713,0,0,1.0341,84,84,0,84,0,84,0.00,0.00,0.00,0.00,0.50,0.00,0.2833333333333333,33.33,2160.61
Random3_1_300,9321,1,300,10 states,8 symbols,5114,32,1,11,8,16,0,0,302.0722,1200,1200,1135,1198,2,65,1.00,0.95,1.00,1.00,1.00,1.00,0.9409883720930232,96.97,48.48
Random3_0_18,221,0,18,10 states,8 symbols,196,11,22,13,8,713,0,0,1.0632,84,84,0,84,0,84,0.00,0.00,0.00,0.00,0.50,0.00,0.2833333333333333,33.33,2160.61
Random3_0_600,221,0,600,10 states,8 symbols,10043,31,0,10,8,17,0,0,947.3623,2400,2400,2400,2400,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0,100.00,54.84
Random3_7_75,9675,7,75,10 states,8 symbols,1173,26,13,13,8,280,0,0,31.3246,300,300,25,293,7,275,0.78,0.08,0.98,0.20,0.50,0.50,0.6022058823529413,66.67,717.95
Random3_6_37,6253,6,37,10 states,8 symbols,477,11,33,19,8,945,0,0,15.3358,148,148,0,148,0,148,0.00,0.00,0.00,0.00,0.50,0.00,0.3084677419354839,25.00,2147.73
Random3_3_600,7968,3,600,10 states,8 symbols,10116,30,1,11,8,8,0,0,1038.4182,2400,2400,2097,2382,18,303,0.99,0.87,0.99,0.90,0.90,0.90,0.9384146341463415,96.77,25.81
Random3_2_0,1564,2,0,10 states,8 symbols,196,11,22,13,8,713,0,0,1.0705,84,84,0,84,0,84,0.00,0.00,0.00,0.00,0.50,0.00,0.2833333333333333,33.33,2160.61
Random3_1_37,9321,1,37,10 states,8 symbols,510,3,35,16,8,1035,0,0,6.7897,148,148,0,148,0,148,0.00,0.00,0.00,0.00,0.50,0.00,0.3070754716981132,7.89,2723.68
Random3_1_0,9321,1,0,10 states,8 symbols,196,11,22,13,8,713,0,0,1.0899,84,84,0,84,0,84,0.00,0.00,0.00,0.00,0.50,0.00,0.2833333333333333,33.33,2160.61
Random3_1_75,9321,1,75,10 states,8 symbols,1209,26,5,10,8,156,0,0,14.3938,300,300,163,296,4,137,0.98,0.54,0.99,0.70,0.80,0.80,0.875,83.87,503.23
Random3_5_18,6267,5,18,10 states,8 symbols,196,11,22,13,8,713,0,0,1.0501,84,84,0,83,1,84,0.00,0.00,0.99,0.00,0.50,0.50,0.2833333333333333,33.33,2160.61
Random3_5_150,6267,5,150,10 states,8 symbols,2498,30,12,15,8,252,0,0,62.7156,600,600,233,575,25,367,0.90,0.39,0.96,0.50,0.70,0.70,0.7071428571428571,71.43,600.00
Random3_0_37,221,0,37,10 states,8 symbols,501,13,27,16,8,482,0,0,6.3649,148,148,2,148,0,146,1.00,0.01,1.00,0.00,0.50,0.50,0.36704545454545456,32.50,1205.00
Random3_0_0,221,0,0,10 states,8 symbols,196,11,22,13,8,713,0,0,1.0670,84,84,0,84,0,84,0.00,0.00,0.00,0.00,0.50,0.00,0.2833333333333333,33.33,2160.61
Random3_2_600,1564,2,600,10 states,8 symbols,10087,31,2,11,8,41,0,0,1314.3384,2400,2400,2248,2358,42,152,0.98,0.94,0.98,1.00,1.00,1.00,0.916860465116279,93.94,124.24
Random3_9_0,3863,9,0,10 states,8 symbols,196,11,22,13,8,713,0,0,1.0714,84,84,0,84,0,84,0.00,0.00,0.00,0.00,0.50,0.00,0.2833333333333333,33.33,2160.61
Random3_7_300,9675,7,300,10 states,8 symbols,5100,30,4,12,8,83,0,0,255.4151,1200,1200,621,1179,21,579,0.97,0.52,0.98,0.70,0.80,0.80,0.8263888888888888,88.24,244.12
Random3_4_300,3551,4,300,10 states,8 symbols,5034,30,3,11,8,38,0,0,377.0251,1200,1200,1065,1182,18,135,0.98,0.89,0.98,0.90,0.90,0.90,0.916860465116279,90.91,115.15
Random3_4_600,3551,4,600,10 states,8 symbols,10035,30,3,11,8,7,0,0,1281.5036,2400,2400,2124,2358,42,276,0.98,0.89,0.98,0.90,0.90,0.90,0.916860465116279,90.91,21.21
Random3_9_75,3863,9,75,10 states,8 symbols,1187,25,5,10,8,186,0,0,16.3528,300,300,156,293,7,144,0.96,0.52,0.98,0.70,0.70,0.70,0.860897435897436,83.33,620.00
Random3_7_600,9675,7,600,10 states,8 symbols,10097,31,3,12,8,23,0,0,1003.9953,2400,2400,1660,2371,29,740,0.98,0.69,0.99,0.80,0.80,0.80,0.8736111111111111,91.18,67.65
Random3_7_1200,9675,7,1200,10 states,8 symbols,19890,32,1,11,8,9,0,0,7701.2108,4800,4800,4265,4788,12,535,1.00,0.89,1.00,0.90,0.90,0.90,0.9409883720930232,96.97,27.27
Random3_4_150,3551,4,150,10 states,8 symbols,2494,27,5,11,8,67,0,0,84.0158,600,600,500,582,18,100,0.97,0.83,0.97,0.90,0.90,0.90,0.8785714285714286,84.38,209.38
Random3_0_75,221,0,75,10 states,8 symbols,1194,26,11,14,8,294,0,0,31.6048,300,300,3,300,0,297,1.00,0.01,1.00,0.00,0.50,0.50,0.54,70.27,794.59
Random3_8_37,1559,8,37,10 states,8 symbols,504,19,12,12,8,495,0,0,4.2256,148,148,1,147,1,147,0.50,0.01,0.99,0.00,0.50,0.50,0.6101190476190477,61.29,1596.77
Random3_4_1200,3551,4,1200,10 states,8 symbols,19696,31,0,10,8,0,0,0,4795.5561,4800,4800,4800,4800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0,100.00,0.00
Random3_6_300,6253,6,300,10 states,8 symbols,5126,29,4,11,8,48,0,0,373.0719,1200,1200,951,1166,34,249,0.97,0.79,0.97,0.90,0.90,0.90,0.8927325581395349,87.88,145.45
Random3_2_37,1564,2,37,10 states,8 symbols,491,15,14,13,8,483,0,0,3.0207,148,148,2,148,0,146,1.00,0.01,1.00,0.00,0.50,0.50,0.5185975609756097,51.72,1665.52
Random3_9_1200,3863,9,1200,10 states,8 symbols,19843,32,1,11,8,13,0,0,5435.7670,4800,4800,4247,4782,18,553,1.00,0.88,1.00,0.90,0.90,0.90,0.9409883720930232,96.97,39.39
Random3_4_37,3551,4,37,10 states,8 symbols,493,30,15,16,8,593,0,0,12.5154,148,148,6,144,4,142,0.60,0.04,0.97,0.10,0.50,0.50,0.33333333333333337,66.67,1317.78
Random3_9_150,3863,9,150,10 states,8 symbols,2513,27,5,12,8,108,0,0,98.9663,600,600,334,587,13,266,0.96,0.56,0.98,0.70,0.80,0.80,0.8444767441860466,84.38,337.50
Random3_5_37,6267,5,37,10 states,8 symbols,500,11,25,13,8,516,0,0,6.4335,148,148,0,147,1,148,0.00,0.00,0.99,0.00,0.50,0.50,0.29791666666666666,30.56,1433.33
Random3_2_18,1564,2,18,10 states,8 symbols,196,11,22,13,8,713,0,0,1.0818,84,84,0,84,0,84,0.00,0.00,0.00,0.00,0.50,0.00,0.2833333333333333,33.33,2160.61
Random3_3_18,7968,3,18,10 states,8 symbols,196,11,22,13,8,713,0,0,1.1480,84,84,0,84,0,84,0.00,0.00,0.00,0.00,0.50,0.00,0.2833333333333333,33.33,2160.61
