File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge
openSSL_9_9,8768,9,9,6 states,20 symbols,153,35,2,75,89,11631,,,6.6466,8,7,3744,57600,SAT,0.7920,112,112,112,64,48,0,0.70,1.00,0.57,0.80,0.80,0.80,0.3979591836734694,94.59
openSSL_6_9,9758,6,9,6 states,20 symbols,153,35,2,75,89,11631,,,7.0911,8,7,3744,57600,SAT,0.9037,112,112,112,59,53,0,0.68,1.00,0.53,0.80,0.80,0.80,0.3794642857142857,94.59
openSSL_5_9,3796,5,9,6 states,20 symbols,153,35,2,75,89,11631,,,7.2458,8,7,3744,57600,SAT,0.9241,112,112,112,72,40,0,0.74,1.00,0.64,0.80,0.80,0.80,0.30952380952380953,94.59
openSSL_1_9,9292,1,9,6 states,20 symbols,153,35,2,75,89,11631,,,6.9023,8,7,3744,57600,SAT,0.7814,112,112,112,67,45,0,0.71,1.00,0.60,0.80,0.80,0.80,0.3979591836734694,94.59
openSSL_8_9,7727,8,9,6 states,20 symbols,153,35,2,75,89,11631,,,6.4107,8,7,3744,57600,SAT,0.7344,112,112,112,61,51,0,0.69,1.00,0.54,0.80,0.80,0.80,0.3979591836734694,94.59
openSSL_2_9,180,2,9,6 states,20 symbols,153,35,2,75,89,11631,,,6.7542,8,7,3744,57600,SAT,0.8036,112,112,112,59,53,0,0.68,1.00,0.53,0.80,0.80,0.80,0.3794642857142857,94.59
openSSL_0_9,5989,0,9,6 states,20 symbols,153,35,2,75,89,11631,,,6.7638,8,7,3744,57600,SAT,0.9882,112,112,112,58,54,0,0.67,1.00,0.52,0.80,0.80,0.80,0.33163265306122447,94.59
openSSL_4_9,6940,4,9,6 states,20 symbols,153,35,2,75,89,11631,,,6.5200,8,7,3744,57600,SAT,0.7930,112,112,112,68,44,0,0.72,1.00,0.61,0.80,0.80,0.80,0.3794642857142857,94.59
openSSL_3_9,6240,3,9,6 states,20 symbols,153,35,2,75,89,11631,,,6.6770,8,7,3744,57600,SAT,0.9037,112,112,112,65,47,0,0.70,1.00,0.58,0.80,0.80,0.80,0.4017857142857143,94.59
openSSL_7_9,312,7,9,6 states,20 symbols,153,35,2,75,89,11631,,,6.6855,8,7,3744,57600,SAT,0.7888,112,112,112,63,49,0,0.70,1.00,0.56,0.80,0.80,0.80,0.3979591836734694,94.59
