File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge
openSSL_6_75,9758,6,75,6 states,20 symbols,691,110,4,344,104,128082,,,232.7304,8,7,5896,109689,SAT,1.0944,300,300,24,297,3,276,0.89,0.08,0.99,0.10,0.50,0.50,0.6537487335359675,96.49
openSSL_4_75,6940,4,75,6 states,20 symbols,693,126,3,346,105,130317,,,218.8702,7,6,4830,83268,SAT,0.6030,300,300,116,243,57,184,0.67,0.39,0.81,0.50,0.60,0.60,0.8434959349593496,97.67
openSSL_8_75,7727,8,75,6 states,20 symbols,679,122,4,336,109,159172,,,236.1115,8,7,5832,109969,SAT,1.2788,300,300,108,280,20,192,0.84,0.36,0.93,0.50,0.60,0.60,0.7142857142857142,96.83
openSSL_2_75,180,2,75,6 states,20 symbols,681,129,3,340,102,173876,,,346.8193,7,6,4788,82842,SAT,0.7527,300,300,107,232,68,193,0.61,0.36,0.77,0.50,0.60,0.60,0.8333333333333334,97.73
openSSL_1_75,9292,1,75,6 states,20 symbols,695,111,3,346,107,128538,,,247.7429,7,6,4830,81798,SAT,0.6617,300,300,111,250,50,189,0.69,0.37,0.83,0.50,0.60,0.60,0.8809523809523809,97.37
openSSL_5_75,3796,5,75,6 states,20 symbols,676,121,3,336,106,166768,,,271.5272,7,6,4760,81578,SAT,0.6777,300,300,115,245,55,185,0.68,0.38,0.82,0.50,0.60,0.60,0.8809523809523809,97.58
openSSL_7_75,312,7,75,6 states,20 symbols,693,124,3,346,102,165502,,,337.7389,7,6,4830,83072,SAT,0.6125,300,300,116,242,58,184,0.67,0.39,0.81,0.50,0.60,0.60,0.7952961672473868,97.64
openSSL_9_75,8768,9,75,6 states,20 symbols,677,113,3,337,104,122530,,,206.5070,7,6,4767,80914,SAT,0.6925,300,300,116,251,49,184,0.70,0.39,0.84,0.50,0.60,0.60,0.8571428571428571,97.41
openSSL_3_75,6240,3,75,6 states,20 symbols,687,117,3,343,105,117979,,,245.9593,7,6,4809,82026,SAT,0.8276,300,300,113,243,57,187,0.66,0.38,0.81,0.50,0.60,0.60,0.8571428571428571,97.50
openSSL_0_75,5989,0,75,6 states,20 symbols,693,118,3,346,104,156960,,,280.7661,7,6,4830,82484,SAT,0.6446,300,300,300,181,119,0,0.72,1.00,0.60,0.80,0.80,0.80,0.9047619047619048,97.52
