File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge
openSSL_3_37,6240,3,37,6 states,20 symbols,259,57,3,129,97,29459,,,18.9576,7,6,3311,50466,SAT,0.4158,148,148,62,117,31,86,0.67,0.42,0.79,0.50,0.60,0.60,0.8095238095238095,95.00
openSSL_4_37,6940,4,37,6 states,20 symbols,259,60,3,129,98,40781,,,20.5547,7,6,3311,50760,SAT,0.4249,148,148,69,114,34,79,0.67,0.47,0.77,0.50,0.60,0.60,0.867595818815331,95.24
openSSL_0_37,5989,0,37,6 states,20 symbols,258,50,4,128,99,25375,,,13.3271,7,6,3304,49758,SAT,0.5833,148,148,65,118,30,83,0.68,0.44,0.80,0.50,0.60,0.60,0.867595818815331,92.59
openSSL_8_37,7727,8,37,6 states,20 symbols,252,47,4,126,97,27334,,,13.4406,8,7,4152,67399,SAT,0.6872,148,148,59,137,11,89,0.84,0.40,0.93,0.50,0.70,0.70,0.7743271221532091,92.16
openSSL_6_37,9758,6,37,6 states,20 symbols,258,58,3,128,102,35924,,,19.8904,7,6,3304,50444,SAT,0.5103,148,148,68,117,31,80,0.69,0.46,0.79,0.60,0.60,0.60,0.8571428571428571,95.08
openSSL_9_37,8768,9,37,6 states,20 symbols,255,56,4,126,94,34331,,,16.6368,7,6,3290,50106,SAT,0.4177,148,148,54,124,24,94,0.69,0.36,0.84,0.50,0.60,0.60,0.8809523809523809,93.33
openSSL_5_37,3796,5,37,6 states,20 symbols,256,60,3,127,99,39557,,,21.5443,7,6,3297,50520,SAT,0.5120,148,148,66,115,33,82,0.67,0.45,0.78,0.50,0.60,0.60,0.8916957026713124,95.24
openSSL_1_37,9292,1,37,6 states,20 symbols,256,57,4,126,100,35166,,,19.1553,10,9,6170,117059,SAT,43.5761,148,148,148,69,79,0,0.65,1.00,0.47,0.80,0.70,0.70,0.5791090629800307,93.44
openSSL_7_37,312,7,37,6 states,20 symbols,256,55,3,126,98,32558,,,17.2643,7,6,3290,49910,SAT,0.4345,148,148,148,89,59,0,0.71,1.00,0.60,0.80,0.80,0.80,0.9285714285714286,94.83
openSSL_2_37,180,2,37,6 states,20 symbols,258,58,3,128,97,30464,,,16.9195,7,6,3304,50444,SAT,0.4290,148,148,56,124,24,92,0.70,0.38,0.84,0.50,0.60,0.60,0.8916957026713124,95.08
