File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge
openSSL_0_4,5989,0,4,6 states,20 symbols,153,35,2,75,89,11631,,,6.7701,8,7,3744,57600,SAT,0.8066,112,112,112,58,54,0,0.67,1.00,0.52,0.80,0.80,0.80,0.3979591836734694,94.59
openSSL_1_4,9292,1,4,6 states,20 symbols,153,35,2,75,89,11631,,,6.6915,8,7,3744,57600,SAT,0.7548,112,112,112,67,45,0,0.71,1.00,0.60,0.80,0.80,0.80,0.3979591836734694,94.59
openSSL_9_4,8768,9,4,6 states,20 symbols,153,35,2,75,89,11631,,,6.6958,8,7,3744,57600,SAT,0.7750,112,112,112,64,48,0,0.70,1.00,0.57,0.80,0.80,0.80,0.42410714285714285,94.59
openSSL_5_4,3796,5,4,6 states,20 symbols,153,35,2,75,89,11631,,,6.8437,8,7,3744,57600,SAT,1.0285,112,112,112,72,40,0,0.74,1.00,0.64,0.80,0.80,0.80,0.3979591836734694,94.59
openSSL_4_4,6940,4,4,6 states,20 symbols,153,35,2,75,89,11631,,,6.5713,8,7,3744,57600,SAT,0.9608,112,112,112,68,44,0,0.72,1.00,0.61,0.80,0.80,0.80,0.2874149659863946,94.59
openSSL_3_4,6240,3,4,6 states,20 symbols,153,35,2,75,89,11631,,,6.8084,8,7,3744,57600,SAT,0.8432,112,112,112,65,47,0,0.70,1.00,0.58,0.80,0.80,0.80,0.42410714285714285,94.59
openSSL_7_4,312,7,4,6 states,20 symbols,153,35,2,75,89,11631,,,6.4250,8,7,3744,57600,SAT,0.8115,112,112,112,63,49,0,0.70,1.00,0.56,0.80,0.80,0.80,0.4421768707482993,94.59
openSSL_8_4,7727,8,4,6 states,20 symbols,153,35,2,75,89,11631,,,6.8096,8,7,3744,57600,SAT,0.7886,112,112,112,61,51,0,0.69,1.00,0.54,0.80,0.80,0.80,0.3979591836734694,94.59
openSSL_2_4,180,2,4,6 states,20 symbols,153,35,2,75,89,11631,,,6.7478,8,7,3744,57600,SAT,0.8017,112,112,112,59,53,0,0.68,1.00,0.53,0.80,0.80,0.80,0.3794642857142857,94.59
openSSL_6_4,9758,6,4,6 states,20 symbols,153,35,2,75,89,11631,,,6.8697,8,7,3744,57600,SAT,0.9811,112,112,112,59,53,0,0.68,1.00,0.53,0.80,0.80,0.80,0.33163265306122447,94.59
