File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges
coffeemachine_2_25,5315,2,25,6 states,8 symbols,227,18,8,113,33,1593,,,1.9762,9,8,1998,36406,SAT,0.8307,100,100,65,100,0,35,1.00,0.65,1.00,0.80,0.80,0.80,0.4739583333333333,69.23,6126.92
coffeemachine_3_25,5795,3,25,6 states,8 symbols,218,26,8,108,34,3779,,,2.8989,8,7,1640,28224,SAT,0.5496,100,100,56,100,0,44,1.00,0.56,1.00,0.70,0.80,0.80,0.5029761904761905,76.47,11114.71
coffeemachine_6_25,9998,6,25,6 states,8 symbols,228,29,4,112,33,2963,,,3.3605,6,5,1110,15282,SAT,0.2267,100,100,76,99,1,24,0.99,0.76,0.99,0.90,0.90,0.90,0.7333333333333334,87.88,8978.79
coffeemachine_9_25,2925,9,25,6 states,8 symbols,219,26,7,109,34,2676,,,2.9004,9,8,1962,36744,SAT,2.0523,100,100,10,100,0,90,1.00,0.10,1.00,0.20,0.60,0.60,0.6,78.79,8109.09
coffeemachine_1_25,8014,1,25,6 states,8 symbols,214,22,5,107,34,2179,,,2.2466,8,7,1632,27171,SAT,0.4026,100,100,65,96,4,35,0.94,0.65,0.96,0.80,0.80,0.80,0.5029761904761905,81.48,8070.37
coffeemachine_4_25,8307,4,25,6 states,8 symbols,219,24,8,107,33,2527,,,3.1290,7,6,1344,20697,SAT,0.2945,100,100,78,100,0,22,1.00,0.78,1.00,0.90,0.90,0.90,0.6666666666666666,75.00,7896.88
coffeemachine_7_25,8829,7,25,6 states,8 symbols,212,27,6,105,33,2968,,,2.7160,7,6,1330,20555,SAT,0.2919,100,100,69,98,2,31,0.97,0.69,0.98,0.80,0.80,0.80,0.7083333333333334,81.82,8993.94
coffeemachine_0_25,3681,0,25,6 states,8 symbols,210,23,3,103,34,1357,,,1.7518,10,9,2240,43704,SAT,4.1960,100,100,29,100,0,71,1.00,0.29,1.00,0.40,0.60,0.60,0.5970238095238095,88.46,5219.23
coffeemachine_8_25,5553,8,25,6 states,8 symbols,222,27,5,110,33,3382,,,2.5559,6,5,1098,15034,SAT,0.2042,100,100,75,99,1,25,0.99,0.75,0.99,0.90,0.90,0.90,0.6416666666666666,84.38,10568.75
coffeemachine_5_25,6578,5,25,6 states,8 symbols,227,24,7,111,33,3513,,,2.6176,9,8,1980,36818,SAT,1.7144,100,100,6,99,1,94,0.86,0.06,0.99,0.10,0.50,0.50,0.375,77.42,11332.26
