File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges
coffeemachine_6_0,9998,6,0,6 states,8 symbols,58,10,3,28,29,873,,,0.4080,6,5,606,6450,SAT,0.1695,44,44,1,44,0,43,1.00,0.02,1.00,0.00,0.50,0.50,0.4714912280701754,76.92,6715.38
coffeemachine_8_0,5553,8,0,6 states,8 symbols,58,10,3,28,29,873,,,0.3864,6,5,606,6450,SAT,0.1766,44,44,24,44,0,20,1.00,0.55,1.00,0.70,0.80,0.80,0.7333333333333334,76.92,6715.38
coffeemachine_7_0,8829,7,0,6 states,8 symbols,58,10,3,28,29,873,,,0.4144,6,5,606,6450,SAT,0.1698,44,44,2,44,0,42,1.00,0.05,1.00,0.10,0.50,0.50,0.4714912280701754,76.92,6715.38
coffeemachine_4_0,8307,4,0,6 states,8 symbols,58,10,3,28,29,873,,,0.4044,6,5,606,6450,SAT,0.1697,44,44,2,44,0,42,1.00,0.05,1.00,0.10,0.50,0.50,0.4714912280701754,76.92,6715.38
coffeemachine_9_0,2925,9,0,6 states,8 symbols,58,10,3,28,29,873,,,0.4947,6,5,606,6450,SAT,0.1735,44,44,3,44,0,41,1.00,0.07,1.00,0.10,0.50,0.50,0.4714912280701754,76.92,6715.38
coffeemachine_3_0,5795,3,0,6 states,8 symbols,58,10,3,28,29,873,,,0.3861,6,5,606,6450,SAT,0.2134,44,44,2,44,0,42,1.00,0.05,1.00,0.10,0.50,0.50,0.4714912280701754,76.92,6715.38
coffeemachine_5_0,6578,5,0,6 states,8 symbols,58,10,3,28,29,873,,,0.4180,6,5,606,6450,SAT,0.1818,44,44,6,44,0,38,1.00,0.14,1.00,0.20,0.60,0.60,0.4714912280701754,76.92,6715.38
coffeemachine_0_0,3681,0,0,6 states,8 symbols,58,10,3,28,29,873,,,0.4388,6,5,606,6450,SAT,0.1822,44,44,30,44,0,14,1.00,0.68,1.00,0.80,0.80,0.80,0.7333333333333334,76.92,6715.38
coffeemachine_2_0,5315,2,0,6 states,8 symbols,58,10,3,28,29,873,,,0.4258,6,5,606,6450,SAT,0.1772,44,44,1,44,0,43,1.00,0.02,1.00,0.00,0.50,0.50,0.4714912280701754,76.92,6715.38
coffeemachine_1_0,8014,1,0,6 states,8 symbols,58,10,3,28,29,873,,,0.4264,6,5,606,6450,SAT,0.1753,44,44,2,44,0,42,1.00,0.05,1.00,0.10,0.50,0.50,0.4714912280701754,76.92,6715.38
