File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges
coffeemachine_6_1,9998,6,1,6 states,8 symbols,58,10,3,28,29,873,,,0.3986,6,5,606,6450,SAT,0.1694,44,44,1,44,0,43,1.00,0.02,1.00,0.00,0.50,0.50,0.4714912280701754,76.92,6715.38
coffeemachine_8_1,5553,8,1,6 states,8 symbols,58,10,3,28,29,873,,,0.4184,6,5,606,6450,SAT,0.1704,44,44,2,44,0,42,1.00,0.05,1.00,0.10,0.50,0.50,0.4714912280701754,76.92,6715.38
coffeemachine_4_1,8307,4,1,6 states,8 symbols,58,10,3,28,29,873,,,0.3931,6,5,606,6450,SAT,0.1681,44,44,2,44,0,42,1.00,0.05,1.00,0.10,0.50,0.50,0.4714912280701754,76.92,6715.38
coffeemachine_1_1,8014,1,1,6 states,8 symbols,58,10,3,28,29,873,,,0.4182,6,5,606,6450,SAT,0.1711,44,44,2,44,0,42,1.00,0.05,1.00,0.10,0.50,0.50,0.4714912280701754,76.92,6715.38
coffeemachine_0_1,3681,0,1,6 states,8 symbols,58,10,3,28,29,873,,,0.4115,6,5,606,6450,SAT,0.1728,44,44,4,44,0,40,1.00,0.09,1.00,0.20,0.50,0.50,0.4714912280701754,76.92,6715.38
coffeemachine_7_1,8829,7,1,6 states,8 symbols,58,10,3,28,29,873,,,0.4211,6,5,606,6450,SAT,0.1803,44,44,2,44,0,42,1.00,0.05,1.00,0.10,0.50,0.50,0.4714912280701754,76.92,6715.38
coffeemachine_3_1,5795,3,1,6 states,8 symbols,58,10,3,28,29,873,,,0.4194,6,5,606,6450,SAT,0.1761,44,44,28,44,0,16,1.00,0.64,1.00,0.80,0.80,0.80,0.7333333333333334,76.92,6715.38
coffeemachine_9_1,2925,9,1,6 states,8 symbols,58,10,3,28,29,873,,,0.4700,6,5,606,6450,SAT,0.1742,44,44,3,44,0,41,1.00,0.07,1.00,0.10,0.50,0.50,0.4714912280701754,76.92,6715.38
coffeemachine_2_1,5315,2,1,6 states,8 symbols,58,10,3,28,29,873,,,0.4005,6,5,606,6450,SAT,0.1832,44,44,29,44,0,15,1.00,0.66,1.00,0.80,0.80,0.80,0.7333333333333334,76.92,6715.38
coffeemachine_5_1,6578,5,1,6 states,8 symbols,58,10,3,28,29,873,,,0.4031,6,5,606,6450,SAT,0.1693,44,44,6,44,0,38,1.00,0.14,1.00,0.20,0.60,0.60,0.4714912280701754,76.92,6715.38
