File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges
coffeemachine_2_12,5315,2,12,6 states,8 symbols,70,10,4,35,30,1027,,,0.4656,7,6,840,10293,SAT,0.4326,48,48,4,48,0,44,1.00,0.08,1.00,0.20,0.50,0.50,0.3333333333333333,71.43,7335.71
coffeemachine_4_12,8307,4,12,6 states,8 symbols,70,13,4,35,30,1362,,,0.8046,6,5,648,7354,SAT,0.1775,48,48,14,45,3,34,0.82,0.29,0.94,0.40,0.60,0.60,0.4125,76.47,8011.76
coffeemachine_3_12,5795,3,12,6 states,8 symbols,71,11,6,35,31,1138,,,0.4965,6,5,648,7354,SAT,0.1793,48,48,0,48,0,48,0.00,0.00,0.00,0.00,0.50,0.00,0.4125,64.71,6694.12
coffeemachine_9_12,2925,9,12,6 states,8 symbols,73,15,7,38,32,1842,,,0.7031,9,8,1323,20833,SAT,0.7315,48,48,2,48,0,46,1.00,0.04,1.00,0.10,0.50,0.50,0.29166666666666663,68.18,8372.73
coffeemachine_6_12,9998,6,12,6 states,8 symbols,70,12,8,34,32,1648,,,0.6421,7,6,833,10761,SAT,0.2512,48,48,3,48,0,45,1.00,0.06,1.00,0.10,0.50,0.50,0.5833333333333334,60.00,8240.00
coffeemachine_0_12,3681,0,12,6 states,8 symbols,69,12,3,34,31,996,,,0.4986,6,5,642,7122,SAT,0.1802,48,48,2,48,0,46,1.00,0.04,1.00,0.10,0.50,0.50,0.55,80.00,6640.00
coffeemachine_5_12,6578,5,12,6 states,8 symbols,70,12,5,33,31,1099,,,0.4971,7,6,826,10347,SAT,0.2583,48,48,3,46,2,45,0.60,0.06,0.96,0.10,0.50,0.50,0.5,70.59,6464.71
coffeemachine_7_12,8829,7,12,6 states,8 symbols,69,13,3,33,31,1369,,,0.4992,6,5,636,7106,SAT,0.1778,48,48,13,47,1,35,0.93,0.27,0.98,0.40,0.60,0.60,0.4125,81.25,8556.25
coffeemachine_1_12,8014,1,12,6 states,8 symbols,69,14,5,34,29,1546,,,0.5330,8,7,1048,14686,SAT,2.0032,48,48,1,48,0,47,1.00,0.02,1.00,0.00,0.50,0.50,0.4642857142857143,73.68,8136.84
coffeemachine_8_12,5553,8,12,6 states,8 symbols,70,13,8,30,31,1618,,,0.6086,9,8,1251,19079,SAT,9.8451,48,48,7,46,2,41,0.78,0.15,0.96,0.20,0.60,0.60,0.40658602150537637,61.90,7704.76
