File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges
coffeemachine_8_3,5553,8,3,6 states,8 symbols,58,10,3,28,29,873,,,0.4133,6,5,606,6450,SAT,0.1732,44,44,24,44,0,20,1.00,0.55,1.00,0.70,0.80,0.80,0.7333333333333334,76.92,6715.38
coffeemachine_0_3,3681,0,3,6 states,8 symbols,58,10,3,28,29,873,,,0.4174,6,5,606,6450,SAT,0.1731,44,44,4,44,0,40,1.00,0.09,1.00,0.20,0.50,0.50,0.4714912280701754,76.92,6715.38
coffeemachine_6_3,9998,6,3,6 states,8 symbols,58,10,3,28,29,873,,,0.4023,6,5,606,6450,SAT,0.1685,44,44,1,44,0,43,1.00,0.02,1.00,0.00,0.50,0.50,0.4714912280701754,76.92,6715.38
coffeemachine_3_3,5795,3,3,6 states,8 symbols,58,10,3,28,29,873,,,0.3827,6,5,606,6450,SAT,0.1658,44,44,28,44,0,16,1.00,0.64,1.00,0.80,0.80,0.80,0.7333333333333334,76.92,6715.38
coffeemachine_2_3,5315,2,3,6 states,8 symbols,58,10,3,28,29,873,,,0.4290,6,5,606,6450,SAT,0.1760,44,44,29,44,0,15,1.00,0.66,1.00,0.80,0.80,0.80,0.7333333333333334,76.92,6715.38
coffeemachine_7_3,8829,7,3,6 states,8 symbols,58,10,3,28,29,873,,,0.4045,6,5,606,6450,SAT,0.1729,44,44,2,44,0,42,1.00,0.05,1.00,0.10,0.50,0.50,0.4714912280701754,76.92,6715.38
coffeemachine_5_3,6578,5,3,6 states,8 symbols,58,10,3,28,29,873,,,0.4231,6,5,606,6450,SAT,0.1696,44,44,6,44,0,38,1.00,0.14,1.00,0.20,0.60,0.60,0.4714912280701754,76.92,6715.38
coffeemachine_4_3,8307,4,3,6 states,8 symbols,58,10,3,28,29,873,,,0.4073,6,5,606,6450,SAT,0.1910,44,44,34,44,0,10,1.00,0.77,1.00,0.90,0.90,0.90,0.7333333333333334,76.92,6715.38
coffeemachine_9_3,2925,9,3,6 states,8 symbols,58,10,3,28,29,873,,,0.4151,6,5,606,6450,SAT,0.1702,44,44,3,44,0,41,1.00,0.07,1.00,0.10,0.50,0.50,0.4714912280701754,76.92,6715.38
coffeemachine_1_3,8014,1,3,6 states,8 symbols,58,10,3,28,29,873,,,0.4270,6,5,606,6450,SAT,0.1709,44,44,19,44,0,25,1.00,0.43,1.00,0.60,0.70,0.70,0.7333333333333334,76.92,6715.38
