File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
coffeemachine_3_100,1671,3,100,6 states,8 symbols,983,17,2,6,8,10,4,0,20.7389,400,400,351,400,0,49,1.0,0.88,1.0,0.9,0.9,0.9,0.9166666666666666,89.47,52.63,400,400,373,400,0,27,1.00,0.93,1.00,1.00,1.00,1.00
coffeemachine_8_100,1306,8,100,6 states,8 symbols,1007,18,1,6,8,0,4,0,20.9643,400,400,379,400,0,21,1.0,0.95,1.0,1.0,1.0,1.0,0.9583333333333334,94.74,0.0,400,400,380,400,0,20,1.00,0.95,1.00,1.00,1.00,1.00
coffeemachine_6_100,6913,6,100,6 states,8 symbols,981,18,1,6,8,0,4,0,27.3454,400,400,385,400,0,15,1.0,0.96,1.0,1.0,1.0,1.0,0.9583333333333334,94.74,0.0,400,400,392,400,0,8,1.00,0.98,1.00,1.00,1.00,1.00
coffeemachine_5_100,2212,5,100,6 states,8 symbols,957,17,2,6,8,19,4,0,16.4457,400,400,365,400,0,35,1.0,0.91,1.0,1.0,1.0,1.0,0.9166666666666666,89.47,100.0,400,400,379,400,0,21,1.00,0.95,1.00,1.00,1.00,1.00
coffeemachine_1_100,8822,1,100,6 states,8 symbols,977,14,2,5,8,15,4,0,13.7328,400,400,326,400,0,74,1.0,0.81,1.0,0.9,0.9,0.9,0.825,87.5,93.75,400,400,347,400,0,53,1.00,0.87,1.00,0.90,0.90,0.90
coffeemachine_9_100,6919,9,100,6 states,8 symbols,982,19,3,7,8,39,4,0,21.0911,400,400,310,400,0,90,1.0,0.78,1.0,0.9,0.9,0.9,0.7351190476190477,86.36,177.27,400,400,350,400,0,50,1.00,0.88,1.00,0.90,0.90,0.90
coffeemachine_0_100,1185,0,100,6 states,8 symbols,970,17,2,6,8,28,4,0,13.95,400,400,357,400,0,43,1.0,0.89,1.0,0.9,0.9,0.9,0.9166666666666666,89.47,147.37,400,400,365,400,0,35,1.00,0.91,1.00,1.00,1.00,1.00
coffeemachine_7_100,6434,7,100,6 states,8 symbols,1004,18,1,6,8,13,4,0,23.8084,400,400,387,400,0,13,1.0,0.97,1.0,1.0,1.0,1.0,0.9583333333333334,94.74,68.42,400,400,389,400,0,11,1.00,0.97,1.00,1.00,1.00,1.00
coffeemachine_2_100,9825,2,100,6 states,8 symbols,957,18,1,6,8,11,4,0,22.5047,400,400,373,400,0,27,1.0,0.93,1.0,1.0,1.0,1.0,0.9583333333333334,94.74,57.89,400,400,388,400,0,12,1.00,0.97,1.00,1.00,1.00,1.00
coffeemachine_4_100,4047,4,100,6 states,8 symbols,941,19,0,6,8,10,4,0,24.0334,400,400,400,400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,52.63,400,400,400,400,0,0,1.00,1.00,1.00,1.00,1.00,1.00
