File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
coffeemachine_3_12,5795,3,12,6 states,8 symbols,71,13,3,8,8,194,3,0,0.1461,48,48,19,48,0,29,1.0,0.4,1.0,0.6,0.7,0.7,0.3405797101449275,81.25,1212.5,48,48,26,46,2,22,0.93,0.54,0.96,0.70,0.80,0.80
coffeemachine_9_12,2925,9,12,6 states,8 symbols,73,16,3,9,8,168,3,0,0.1868,48,48,30,41,7,18,0.81,0.62,0.85,0.7,0.7,0.7,0.3935185185185185,84.21,884.21,48,48,39,39,9,9,0.81,0.81,0.81,0.80,0.80,0.80
coffeemachine_0_12,3681,0,12,6 states,8 symbols,69,14,3,6,8,146,3,0,0.145,48,48,31,43,5,17,0.86,0.65,0.9,0.7,0.8,0.8,0.3920454545454546,82.35,858.82,48,48,38,39,9,10,0.81,0.79,0.81,0.80,0.80,0.80
coffeemachine_6_12,9998,6,12,6 states,8 symbols,70,12,3,6,8,103,3,0,0.1678,48,48,24,43,5,24,0.83,0.5,0.9,0.6,0.7,0.7,0.4583333333333333,80.0,686.67,48,48,33,43,5,15,0.87,0.69,0.90,0.80,0.80,0.80
coffeemachine_4_12,8307,4,12,6 states,8 symbols,70,14,3,9,8,213,3,0,0.1423,48,48,23,45,3,25,0.88,0.48,0.94,0.6,0.7,0.7,0.2858333333333334,82.35,1252.94,48,48,34,44,4,14,0.89,0.71,0.92,0.80,0.80,0.80
coffeemachine_7_12,8829,7,12,6 states,8 symbols,69,12,3,8,8,152,3,0,0.1791,48,48,15,46,2,33,0.88,0.31,0.96,0.5,0.6,0.6,0.3920454545454546,80.0,1013.33,48,48,27,43,5,21,0.84,0.56,0.90,0.70,0.70,0.70
coffeemachine_8_12,5553,8,12,6 states,8 symbols,70,14,3,7,8,224,4,0,0.1524,48,48,17,45,3,31,0.85,0.35,0.94,0.5,0.6,0.6,0.2980072463768116,82.35,1317.65,48,48,29,42,6,19,0.83,0.60,0.88,0.70,0.70,0.70
coffeemachine_1_12,8014,1,12,6 states,8 symbols,69,13,3,8,8,153,3,0,0.1329,48,48,14,41,7,34,0.67,0.29,0.85,0.4,0.6,0.6,0.2980072463768116,81.25,956.25,48,48,28,41,7,20,0.80,0.58,0.85,0.70,0.70,0.70
coffeemachine_5_12,6578,5,12,6 states,8 symbols,70,11,3,6,8,90,3,0,0.1377,48,48,19,43,5,29,0.79,0.4,0.9,0.5,0.6,0.6,0.6129385964912281,78.57,642.86,48,48,28,43,5,20,0.85,0.58,0.90,0.70,0.70,0.70
coffeemachine_2_12,5315,2,12,6 states,8 symbols,70,13,3,7,8,146,3,0,0.151,48,48,23,42,6,25,0.79,0.48,0.88,0.6,0.7,0.7,0.3920454545454546,81.25,912.5,48,48,34,41,7,14,0.83,0.71,0.85,0.80,0.80,0.80
