File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
coffeemachine_1_400,8822,1,400,6 states,8 symbols,3788,19,0,6,8,0,4,0,479.1641,1600,1600,1600,1600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1600,1600,1600,1600,0,0,1.00,1.00,1.00,1.00,1.00,1.00
coffeemachine_5_50,6578,5,50,6 states,8 symbols,490,15,5,7,8,87,4,0,1.4909,200,200,99,200,0,101,1.0,0.49,1.0,0.7,0.7,0.7,0.5608974358974359,75.0,435.0,200,200,123,200,0,77,1.00,0.61,1.00,0.80,0.80,0.80
coffeemachine_5_1,6578,5,1,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1278,44,44,17,39,5,27,0.77,0.39,0.89,0.5,0.6,0.6,0.2980072463768116,81.25,962.5,44,44,24,39,5,20,0.83,0.55,0.89,0.70,0.70,0.70
coffeemachine_4_1,8307,4,1,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1274,44,44,21,41,3,23,0.88,0.48,0.93,0.6,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,33,40,4,11,0.89,0.75,0.91,0.80,0.80,0.80
coffeemachine_6_100,6913,6,100,6 states,8 symbols,981,18,1,6,8,0,4,0,27.3454,400,400,385,400,0,15,1.0,0.96,1.0,1.0,1.0,1.0,0.9583333333333334,94.74,0.0,400,400,392,400,0,8,1.00,0.98,1.00,1.00,1.00,1.00
coffeemachine_2_50,5315,2,50,6 states,8 symbols,480,13,6,6,8,76,4,0,1.8153,200,200,114,200,0,86,1.0,0.57,1.0,0.7,0.8,0.8,0.75,68.42,400.0,200,200,160,200,0,40,1.00,0.80,1.00,0.90,0.90,0.90
coffeemachine_5_100,2212,5,100,6 states,8 symbols,957,17,2,6,8,19,4,0,16.4457,400,400,365,400,0,35,1.0,0.91,1.0,1.0,1.0,1.0,0.9166666666666666,89.47,100.0,400,400,379,400,0,21,1.00,0.95,1.00,1.00,1.00,1.00
coffeemachine_0_12,3681,0,12,6 states,8 symbols,69,14,3,6,8,146,3,0,0.145,48,48,31,43,5,17,0.86,0.65,0.9,0.7,0.8,0.8,0.3920454545454546,82.35,858.82,48,48,38,39,9,10,0.81,0.79,0.81,0.80,0.80,0.80
coffeemachine_5_400,2212,5,400,6 states,8 symbols,3711,19,0,6,8,0,4,0,538.6328,1600,1600,1600,1600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1600,1600,1600,1600,0,0,1.00,1.00,1.00,1.00,1.00,1.00
coffeemachine_0_1,3681,0,1,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1427,44,44,23,40,4,21,0.85,0.52,0.91,0.6,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,29,41,3,15,0.91,0.66,0.93,0.80,0.80,0.80
coffeemachine_7_3,8829,7,3,6 states,8 symbols,58,13,3,8,8,154,3,0,0.139,44,44,15,43,1,29,0.94,0.34,0.98,0.5,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,26,39,5,18,0.84,0.59,0.89,0.70,0.70,0.70
coffeemachine_6_12,9998,6,12,6 states,8 symbols,70,12,3,6,8,103,3,0,0.1678,48,48,24,43,5,24,0.83,0.5,0.9,0.6,0.7,0.7,0.4583333333333333,80.0,686.67,48,48,33,43,5,15,0.87,0.69,0.90,0.80,0.80,0.80
coffeemachine_2_0,5315,2,0,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1321,44,44,22,39,5,22,0.81,0.5,0.89,0.6,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,30,38,6,14,0.83,0.68,0.86,0.70,0.80,0.80
coffeemachine_0_200,1185,0,200,6 states,8 symbols,1920,19,0,6,8,0,4,0,64.406,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00
coffeemachine_9_200,6919,9,200,6 states,8 symbols,1919,19,0,6,8,0,4,0,114.4044,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00
coffeemachine_8_0,5553,8,0,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1285,44,44,17,41,3,27,0.85,0.39,0.93,0.5,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,27,39,5,17,0.84,0.61,0.89,0.70,0.80,0.80
coffeemachine_4_6,8307,4,6,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1335,44,44,21,41,3,23,0.88,0.48,0.93,0.6,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,33,40,4,11,0.89,0.75,0.91,0.80,0.80,0.80
coffeemachine_0_25,3681,0,25,6 states,8 symbols,210,16,2,6,8,63,4,0,0.513,100,100,58,100,0,42,1.0,0.58,1.0,0.7,0.8,0.8,0.8940217391304348,88.89,350.0,100,100,77,100,0,23,1.00,0.77,1.00,0.90,0.90,0.90
coffeemachine_4_400,4047,4,400,6 states,8 symbols,3666,19,0,6,8,0,4,0,371.8717,1600,1600,1600,1600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1600,1600,1600,1600,0,0,1.00,1.00,1.00,1.00,1.00,1.00
coffeemachine_5_6,6578,5,6,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1335,44,44,17,39,5,27,0.77,0.39,0.89,0.5,0.6,0.6,0.2980072463768116,81.25,962.5,44,44,24,39,5,20,0.83,0.55,0.89,0.70,0.70,0.70
coffeemachine_9_50,2925,9,50,6 states,8 symbols,480,18,3,7,8,44,4,0,2.3334,200,200,96,200,0,104,1.0,0.48,1.0,0.6,0.7,0.7,0.787037037037037,85.71,209.52,200,200,137,200,0,63,1.00,0.69,1.00,0.80,0.80,0.80
coffeemachine_3_0,5795,3,0,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1313,44,44,18,44,0,26,1.0,0.41,1.0,0.6,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,23,42,2,21,0.92,0.52,0.95,0.70,0.70,0.70
coffeemachine_4_12,8307,4,12,6 states,8 symbols,70,14,3,9,8,213,3,0,0.1423,48,48,23,45,3,25,0.88,0.48,0.94,0.6,0.7,0.7,0.2858333333333334,82.35,1252.94,48,48,34,44,4,14,0.89,0.71,0.92,0.80,0.80,0.80
coffeemachine_7_0,8829,7,0,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1297,44,44,15,43,1,29,0.94,0.34,0.98,0.5,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,26,39,5,18,0.84,0.59,0.89,0.70,0.70,0.70
coffeemachine_9_400,6919,9,400,6 states,8 symbols,3717,19,0,6,8,0,4,0,215.2796,1600,1600,1600,1600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1600,1600,1600,1600,0,0,1.00,1.00,1.00,1.00,1.00,1.00
coffeemachine_6_400,6913,6,400,6 states,8 symbols,3748,19,0,6,8,0,4,0,478.5011,1600,1600,1600,1600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1600,1600,1600,1600,0,0,1.00,1.00,1.00,1.00,1.00,1.00
coffeemachine_1_100,8822,1,100,6 states,8 symbols,977,14,2,5,8,15,4,0,13.7328,400,400,326,400,0,74,1.0,0.81,1.0,0.9,0.9,0.9,0.825,87.5,93.75,400,400,347,400,0,53,1.00,0.87,1.00,0.90,0.90,0.90
coffeemachine_8_3,5553,8,3,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1364,44,44,17,41,3,27,0.85,0.39,0.93,0.5,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,27,39,5,17,0.84,0.61,0.89,0.70,0.80,0.80
coffeemachine_8_1,5553,8,1,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1292,44,44,17,41,3,27,0.85,0.39,0.93,0.5,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,27,39,5,17,0.84,0.61,0.89,0.70,0.80,0.80
coffeemachine_9_100,6919,9,100,6 states,8 symbols,982,19,3,7,8,39,4,0,21.0911,400,400,310,400,0,90,1.0,0.78,1.0,0.9,0.9,0.9,0.7351190476190477,86.36,177.27,400,400,350,400,0,50,1.00,0.88,1.00,0.90,0.90,0.90
coffeemachine_8_400,1306,8,400,6 states,8 symbols,3788,18,1,6,8,0,4,0,352.8633,1600,1600,1509,1600,0,91,1.0,0.94,1.0,1.0,1.0,1.0,0.9583333333333334,94.74,0.0,1600,1600,1537,1600,0,63,1.00,0.96,1.00,1.00,1.00,1.00
coffeemachine_7_12,8829,7,12,6 states,8 symbols,69,12,3,8,8,152,3,0,0.1791,48,48,15,46,2,33,0.88,0.31,0.96,0.5,0.6,0.6,0.3920454545454546,80.0,1013.33,48,48,27,43,5,21,0.84,0.56,0.90,0.70,0.70,0.70
coffeemachine_7_1,8829,7,1,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1326,44,44,15,43,1,29,0.94,0.34,0.98,0.5,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,26,39,5,18,0.84,0.59,0.89,0.70,0.70,0.70
coffeemachine_9_0,2925,9,0,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1382,44,44,24,38,6,20,0.8,0.55,0.86,0.6,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,32,38,6,12,0.84,0.73,0.86,0.80,0.80,0.80
coffeemachine_4_3,8307,4,3,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1457,44,44,21,41,3,23,0.88,0.48,0.93,0.6,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,33,40,4,11,0.89,0.75,0.91,0.80,0.80,0.80
coffeemachine_7_200,6434,7,200,6 states,8 symbols,1954,19,0,6,8,9,4,0,110.786,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,47.37,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00
coffeemachine_4_50,8307,4,50,6 states,8 symbols,485,17,4,7,8,48,4,0,1.8154,200,200,109,200,0,91,1.0,0.55,1.0,0.7,0.8,0.8,0.787037037037037,80.95,228.57,200,200,138,200,0,62,1.00,0.69,1.00,0.80,0.80,0.80
coffeemachine_0_100,1185,0,100,6 states,8 symbols,970,17,2,6,8,28,4,0,13.95,400,400,357,400,0,43,1.0,0.89,1.0,0.9,0.9,0.9,0.9166666666666666,89.47,147.37,400,400,365,400,0,35,1.00,0.91,1.00,1.00,1.00,1.00
coffeemachine_3_400,1671,3,400,6 states,8 symbols,3748,19,0,6,8,0,4,0,434.6467,1600,1600,1600,1600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1600,1600,1600,1600,0,0,1.00,1.00,1.00,1.00,1.00,1.00
coffeemachine_8_12,5553,8,12,6 states,8 symbols,70,14,3,7,8,224,4,0,0.1524,48,48,17,45,3,31,0.85,0.35,0.94,0.5,0.6,0.6,0.2980072463768116,82.35,1317.65,48,48,29,42,6,19,0.83,0.60,0.88,0.70,0.70,0.70
coffeemachine_2_400,9825,2,400,6 states,8 symbols,3693,19,0,6,8,0,4,0,395.0505,1600,1600,1600,1600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1600,1600,1600,1600,0,0,1.00,1.00,1.00,1.00,1.00,1.00
coffeemachine_1_6,8014,1,6,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1382,44,44,13,39,5,31,0.72,0.3,0.89,0.4,0.6,0.6,0.2980072463768116,81.25,962.5,44,44,26,38,6,18,0.81,0.59,0.86,0.70,0.70,0.70
coffeemachine_2_25,5315,2,25,6 states,8 symbols,227,12,3,5,8,34,4,0,0.4341,100,100,54,100,0,46,1.0,0.54,1.0,0.7,0.8,0.8,0.7543859649122806,80.0,226.67,100,100,77,100,0,23,1.00,0.77,1.00,0.90,0.90,0.90
coffeemachine_0_400,1185,0,400,6 states,8 symbols,3764,19,0,6,8,0,4,0,362.4098,1600,1600,1600,1600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1600,1600,1600,1600,0,0,1.00,1.00,1.00,1.00,1.00,1.00
