File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge
Random1_8_12,7796,8,12,7 states,6 symbols,97,10,4,48,23,816,,,0.4026,8,7,776,12349,SAT,0.3170,48,48,0,48,0,48,0.00,0.00,0.00,0.00,0.50,0.00,0.42857142857142855,71.43
Random1_3_12,9917,3,12,7 states,6 symbols,98,10,4,49,23,809,,,0.4033,8,7,784,12506,SAT,0.4243,48,48,1,48,0,47,1.00,0.02,1.00,0.00,0.50,0.50,0.6190476190476191,71.43
Random1_9_12,509,9,12,7 states,6 symbols,101,6,7,50,24,712,,,0.4193,7,6,651,9301,SAT,0.2493,48,48,0,48,0,48,0.00,0.00,0.00,0.00,0.50,0.00,0.6918767507002801,46.15
Random1_6_12,4424,6,12,7 states,6 symbols,96,13,4,42,23,1163,,,1.3937,8,7,728,11791,SAT,0.3476,48,48,0,48,0,48,0.00,0.00,0.00,0.00,0.50,0.00,0.6015037593984962,76.47
Random1_4_12,7794,4,12,7 states,6 symbols,93,10,2,46,23,217,,,0.3782,8,7,760,11779,SAT,0.3385,48,48,1,48,0,47,1.00,0.02,1.00,0.00,0.50,0.50,0.5238095238095238,83.33
Random1_1_12,9563,1,12,7 states,6 symbols,90,12,3,44,23,708,,,0.3896,8,7,744,11849,SAT,0.3247,48,48,0,48,0,48,0.00,0.00,0.00,0.00,0.50,0.00,0.6190476190476191,80.00
Random1_2_12,1249,2,12,7 states,6 symbols,92,8,3,45,24,382,,,0.3425,9,8,900,15036,SAT,1.3140,48,48,0,48,0,48,0.00,0.00,0.00,0.00,0.50,0.00,0.4554865424430642,72.73
Random1_0_12,8580,0,12,7 states,6 symbols,96,9,5,48,23,665,,,0.4070,8,7,776,12349,SAT,0.4472,48,48,0,48,0,48,0.00,0.00,0.00,0.00,0.50,0.00,0.5714285714285714,64.29
Random1_5_12,6644,5,12,7 states,6 symbols,98,8,3,46,23,551,,,0.3540,8,7,760,11651,SAT,0.3077,48,48,7,48,0,41,1.00,0.15,1.00,0.30,0.60,0.60,0.4880952380952381,72.73
Random1_7_12,1335,7,12,7 states,6 symbols,95,9,5,47,23,723,,,0.3961,8,7,768,12192,SAT,0.4199,48,48,0,48,0,48,0.00,0.00,0.00,0.00,0.50,0.00,0.5238095238095238,64.29
