File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge
Random1_6_50,4424,6,50,7 states,6 symbols,534,7,1,211,25,43,,,1.8800,8,7,2080,37172,SAT,0.5969,200,200,53,194,6,147,0.90,0.27,0.97,0.40,0.60,0.60,0.8095238095238095,87.50
Random1_8_50,7796,8,50,7 states,6 symbols,537,12,0,239,26,182,,,5.7189,8,7,2304,42080,SAT,0.4829,200,200,143,197,3,57,0.98,0.71,0.98,0.80,0.80,0.80,0.9047619047619048,100.00
Random1_3_50,9917,3,50,7 states,6 symbols,546,8,0,265,25,20,,,1.7663,8,7,2512,45650,SAT,0.5459,200,200,200,200,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0,100.00
Random1_7_50,1335,7,50,7 states,6 symbols,552,8,0,264,25,33,,,1.8438,8,7,2504,45493,SAT,0.4599,200,200,200,196,4,0,0.98,1.00,0.98,1.00,1.00,1.00,0.9523809523809523,100.00
Random1_2_50,1249,2,50,7 states,6 symbols,554,12,0,257,26,198,,,4.0117,8,7,2448,44906,SAT,0.4966,200,200,200,196,4,0,0.98,1.00,0.98,1.00,1.00,1.00,0.9523809523809523,100.00
Random1_4_50,7794,4,50,7 states,6 symbols,551,7,0,258,26,25,,,1.7101,8,7,2456,44423,SAT,0.5170,200,200,200,200,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0,100.00
Random1_5_50,6644,5,50,7 states,6 symbols,563,9,0,277,26,99,,,3.3717,8,7,2608,47662,SAT,0.5037,200,200,200,195,5,0,0.98,1.00,0.97,1.00,1.00,1.00,0.9523809523809523,100.00
Random1_1_50,9563,1,50,7 states,6 symbols,544,11,1,242,25,129,,,4.3142,10,9,3030,67829,SAT,2.4124,200,200,65,197,3,135,0.96,0.33,0.98,0.50,0.70,0.70,0.7619047619047619,91.67
Random1_9_50,509,9,50,7 states,6 symbols,552,11,0,258,26,110,,,4.0736,8,7,2456,44935,SAT,0.6765,200,200,200,200,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0,100.00
Random1_0_50,8580,0,50,7 states,6 symbols,560,8,0,249,25,56,,,1.8475,8,7,2384,43138,SAT,0.5173,200,200,200,200,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0,100.00
