File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge
Random1_2_25,1249,2,25,7 states,6 symbols,256,6,2,121,26,111,,,0.5669,9,8,1584,29674,SAT,0.7069,100,100,45,98,2,55,0.96,0.45,0.98,0.60,0.70,0.70,0.7142857142857142,75.00
Random1_9_25,509,9,25,7 states,6 symbols,260,11,1,120,25,323,,,1.0901,9,8,1575,30123,SAT,0.9756,100,100,39,97,3,61,0.93,0.39,0.97,0.50,0.70,0.70,0.8198757763975155,91.67
Random1_1_25,9563,1,25,7 states,6 symbols,249,16,2,97,24,610,,,1.3532,8,7,1168,20554,SAT,0.3861,100,100,13,96,4,87,0.76,0.13,0.96,0.20,0.50,0.50,0.6666666666666666,88.89
Random1_0_25,8580,0,25,7 states,6 symbols,251,7,5,120,24,582,,,0.9094,10,9,1810,37817,SAT,3.5347,100,100,0,100,0,100,0.00,0.00,0.00,0.00,0.50,0.00,0.5164835164835164,58.33
Random1_8_25,7796,8,25,7 states,6 symbols,257,10,2,121,26,377,,,0.8906,11,10,2068,46813,SAT,16.4579,100,100,0,99,1,100,0.00,0.00,0.99,0.00,0.50,0.50,0.4452380952380952,83.33
Random1_6_25,4424,6,25,7 states,6 symbols,240,7,4,106,25,294,,,0.7057,9,8,1449,27175,SAT,1.3428,100,100,0,100,0,100,0.00,0.00,0.00,0.00,0.50,0.00,0.5803571428571428,63.64
Random1_7_25,1335,7,25,7 states,6 symbols,253,7,3,124,25,118,,,0.8617,9,8,1611,30595,SAT,0.7439,100,100,1,100,0,99,1.00,0.01,1.00,0.00,0.50,0.50,0.5119047619047619,70.00
Random1_3_25,9917,3,25,7 states,6 symbols,250,9,3,123,24,155,,,1.0069,9,8,1602,30720,SAT,0.7161,100,100,4,99,1,96,0.80,0.04,0.99,0.10,0.50,0.50,0.4910714285714286,75.00
Random1_4_25,7794,4,25,7 states,6 symbols,256,22,3,110,26,1339,,,3.1743,12,11,2196,56447,SAT,54.6058,100,100,6,100,0,94,1.00,0.06,1.00,0.10,0.50,0.50,0.4675324675324675,88.00
Random1_5_25,6644,5,25,7 states,6 symbols,271,11,0,127,26,318,,,1.2870,8,7,1408,24368,SAT,0.3538,100,100,100,91,9,0,0.92,1.00,0.91,1.00,1.00,1.00,0.8571428571428571,100.00
