File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
openSSL_3_75,6240,3,75,6 states,20 symbols,687,16,3,337,6.6614,9,8,7011,126051,SAT,1.9767,300.0,300.0,113.0,234.0,66.0,187.0,0.63,0.38,0.78,0.5,0.6,0.6,0.3958333333333333,84.21,0.0,,9,8,7011,126051,SAT,1.8359,300,300,300,150,150,0,0.67,1.00,0.50,0.80,0.80,0.80,0.22916666666666669
openSSL_5_2400,1890,5,2400,6 states,20 symbols,23199,11,0,6310,6324.3396,6,5,39630,575739,SAT,3.0648,9600.0,9600.0,2993.0,9422.0,178.0,6607.0,0.94,0.31,0.98,0.5,0.6,0.6,0.7857142857142857,100.0,0.0,,,,,,,,,,,,,,,,,,,,
openSSL_5_37,3796,5,37,6 states,20 symbols,256,13,6,126,0.4007,8,7,4152,63303,SAT,0.8732,148.0,148.0,148.0,90.0,58.0,0.0,0.72,1.0,0.61,0.8,0.8,0.8,0.3316326530612244,68.42,0.0,,8,7,4152,63303,SAT,0.6074,148,148,97,100,48,51,0.67,0.66,0.68,0.70,0.70,0.70,0.4017857142857143
openSSL_5_9,3796,5,9,6 states,20 symbols,153,15,6,76,0.1949,7,6,2940,40284,SAT,0.3819,112.0,112.0,57.0,95.0,17.0,55.0,0.77,0.51,0.85,0.6,0.7,0.7,0.4047619047619047,71.43,0.0,,7,6,2940,40284,SAT,0.3884,112,112,73,71,41,39,0.64,0.65,0.63,0.60,0.60,0.60,0.38095238095238093
openSSL_2_600,6118,2,600,6 states,20 symbols,6120,11,0,1790,770.7505,6,5,12510,177979,SAT,1.1745,2400.0,2400.0,1021.0,2272.0,128.0,1379.0,0.89,0.43,0.95,0.6,0.7,0.7,0.7333333333333334,100.0,0.0,,6,5,12510,177979,SAT,0.9795,2400,2400,1010,2260,140,1390,0.88,0.42,0.94,0.60,0.70,0.70,0.7333333333333334
openSSL_9_0,8768,9,0,6 states,20 symbols,153,15,6,76,0.1996,7,6,2940,40284,SAT,0.3561,112.0,112.0,112.0,64.0,48.0,0.0,0.7,1.0,0.57,0.8,0.8,0.8,0.5238095238095238,71.43,0.0,,7,6,2940,40284,SAT,0.3901,112,112,69,74,38,43,0.64,0.62,0.66,0.60,0.60,0.60,0.38095238095238093
openSSL_4_1200,3121,4,1200,6 states,20 symbols,11925,11,0,3288,1164.5736,6,5,21498,309803,SAT,4.5217,4800.0,4800.0,1726.0,4254.0,546.0,3074.0,0.76,0.36,0.89,0.5,0.6,0.6,0.7333333333333334,100.0,0.0,,,,,,,,,,,,,,,,,,,,
openSSL_8_600,8082,8,600,6 states,20 symbols,6021,11,0,1728,741.3609,6,5,12138,172523,SAT,2.2791,2400.0,2400.0,1015.0,2294.0,106.0,1385.0,0.91,0.42,0.96,0.6,0.7,0.7,0.7333333333333334,100.0,0.0,,6,5,12138,172523,SAT,0.8761,2400,2400,1026,2279,121,1374,0.89,0.43,0.95,0.60,0.70,0.70,0.7333333333333334
openSSL_9_600,8960,9,600,6 states,20 symbols,6111,11,0,1907,506.3581,6,5,13212,188275,SAT,0.988,2400.0,2400.0,1005.0,2332.0,68.0,1395.0,0.94,0.42,0.97,0.6,0.7,0.7,0.7857142857142857,100.0,0.0,,6,5,13212,188275,SAT,0.8912,2400,2400,1021,2318,82,1379,0.93,0.43,0.97,0.60,0.70,0.70,0.7857142857142857
openSSL_1_75,9292,1,75,6 states,20 symbols,695,24,6,336,13.7495,11,10,9636,202630,SAT,23.0158,300.0,300.0,111.0,278.0,22.0,189.0,0.83,0.37,0.93,0.5,0.6,0.6,0.4571428571428571,80.0,0.0,,11,10,9636,202630,SAT,20.7470,300,300,187,267,33,113,0.85,0.62,0.89,0.70,0.80,0.80,0.45714285714285713
